w_date,tmax,tmin,tavg,rain,relhumid,wind,srad
2040-01-01,-0.2,-2.4,-1.3,1.9,92.0,1.3,0.3
2040-01-02,-2.0,-4.2,-3.1,2.2,87.0,3.2,0.6
2040-01-03,-3.0,-4.7,-3.85,2.6,86.0,3.8,0.5
2040-01-04,-3.3,-6.2,-4.75,0.0,91.0,0.6,0.5
2040-01-05,-5.2,-11.8,-8.5,0.2,87.0,1.3,0.6
2040-01-06,-0.9,-9.4,-5.15,0.7,91.0,2.6,0.5
2040-01-07,0.0,-2.1,-1.05,3.0,92.0,1.9,0.5
2040-01-08,-0.6,-4.1,-2.3499999999999996,0.4,88.0,1.9,0.6
2040-01-09,-2.9,-4.2,-3.55,0.9,92.0,1.3,0.3
2040-01-10,-2.9,-13.4,-8.15,0.1,85.0,1.3,1.0
2040-01-11,-0.9,-8.8,-4.8500000000000005,0.1,83.0,1.3,0.5
2040-01-12,-0.9,-3.6,-2.25,0.0,83.0,1.9,0.4
2040-01-13,0.8,-3.4,-1.2999999999999998,0.0,89.0,2.6,0.7
2040-01-14,3.3,0.7,2.0,0.0,82.0,3.2,0.6
2040-01-15,3.0,-5.1,-1.0499999999999998,0.1,80.0,2.6,0.8
2040-01-16,-4.8,-14.4,-9.6,0.7,72.0,1.9,1.6
2040-01-17,0.3,-18.4,-9.049999999999999,0.0,85.0,2.6,0.6
2040-01-18,2.4,-1.8,0.29999999999999993,0.0,77.0,2.6,1.6
2040-01-19,-1.3,-13.3,-7.300000000000001,0.0,86.0,0.6,2.0
2040-01-20,-1.6,-14.1,-7.85,0.0,89.0,1.3,1.4
2040-01-21,-1.6,-6.1,-3.8499999999999996,0.1,86.0,1.9,1.1
2040-01-22,-4.0,-6.9,-5.45,0.3,90.0,1.9,0.7
2040-01-23,-3.9,-6.7,-5.3,0.7,85.0,2.6,0.6
2040-01-24,-6.3,-15.1,-10.7,1.1,79.0,3.8,1.5
2040-01-25,-14.3,-18.2,-16.25,0.2,74.0,3.2,1.5
2040-01-26,-17.5,-23.4,-20.45,0.6,74.0,1.3,2.3
2040-01-27,-10.9,-22.3,-16.6,0.1,83.0,1.9,2.6
2040-01-28,-11.4,-23.2,-17.3,0.1,77.0,1.9,2.7
2040-01-29,-2.4,-12.2,-7.3,1.6,81.0,3.2,1.1
2040-01-30,-9.2,-22.9,-16.049999999999997,0.0,78.0,1.9,3.1
2040-01-31,-15.1,-27.1,-21.1,0.0,83.0,0.6,2.9
2040-02-01,-15.6,-28.7,-22.15,0.0,78.0,1.3,2.1
2040-02-02,-8.5,-24.5,-16.5,0.3,81.0,1.9,2.9
2040-02-03,-0.7,-11.4,-6.05,0.7,87.0,2.6,2.2
2040-02-04,-1.9,-8.4,-5.15,0.1,88.0,1.3,2.2
2040-02-05,-5.0,-12.0,-8.5,0.1,87.0,0.6,3.4
2040-02-06,-3.7,-12.1,-7.9,0.3,84.0,1.9,2.9
2040-02-07,-9.8,-13.6,-11.7,0.9,84.0,1.9,2.2
2040-02-08,-11.3,-18.8,-15.05,0.1,83.0,1.9,3.4
2040-02-09,-15.8,-22.6,-19.200000000000003,0.0,83.0,1.3,3.7
2040-02-10,-15.1,-25.4,-20.25,0.0,80.0,1.3,4.0
2040-02-11,-10.9,-24.8,-17.85,0.0,74.0,1.3,4.2
2040-02-12,-9.8,-22.6,-16.200000000000003,0.1,79.0,0.6,4.3
2040-02-13,-2.4,-19.9,-11.149999999999999,1.5,87.0,2.6,2.0
2040-02-14,2.5,-2.4,0.050000000000000044,0.6,89.0,3.2,1.0
2040-02-15,3.9,1.8,2.85,1.7,96.0,3.8,1.5
2040-02-16,3.8,-1.0,1.4,0.1,85.0,3.2,0.9
2040-02-17,-0.4,-7.4,-3.9000000000000004,0.0,72.0,1.9,5.5
2040-02-18,0.3,-16.3,-8.0,0.0,85.0,2.6,2.9
2040-02-19,1.2,-1.5,-0.15000000000000002,0.6,90.0,3.2,1.9
2040-02-20,1.8,0.0,0.9,0.0,91.0,1.9,2.8
2040-02-21,0.3,-3.4,-1.55,0.1,94.0,0.6,3.5
2040-02-22,-0.2,-3.8,-2.0,0.0,94.0,1.9,2.5
2040-02-23,-0.2,-2.0,-1.1,0.0,94.0,2.6,2.8
2040-02-24,1.1,-4.9,-1.9000000000000001,0.0,91.0,0.6,6.2
2040-02-25,-2.3,-8.4,-5.35,0.0,91.0,1.3,4.4
2040-02-26,-0.9,-4.6,-2.75,0.1,93.0,1.9,2.5
2040-02-27,0.3,-2.5,-1.1,0.1,94.0,1.9,3.0
2040-02-28,0.8,-3.7,-1.4500000000000002,1.2,88.0,4.5,1.9
2040-02-29,4.2,-0.4,1.9000000000000001,0.1,77.0,2.6,3.4
2040-03-01,4.3,-0.7,1.7999999999999998,0.1,72.0,2.6,6.3
2040-03-02,-0.2,-10.3,-5.25,1.9,82.0,2.6,3.5
2040-03-03,-1.6,-8.4,-5.0,0.1,68.0,2.6,7.0
2040-03-04,-3.6,-11.0,-7.3,0.1,73.0,2.6,7.1
2040-03-05,-3.4,-11.6,-7.5,1.2,65.0,1.3,6.2
2040-03-06,4.0,-4.7,-0.3500000000000001,0.0,83.0,3.2,2.7
2040-03-07,5.3,-3.2,1.0499999999999998,0.0,37.0,3.2,9.5
2040-03-08,3.5,-6.3,-1.4,0.0,60.0,3.2,7.5
2040-03-09,0.4,-6.2,-2.9,0.0,58.0,3.2,9.5
2040-03-10,-0.4,-11.8,-6.1000000000000005,0.0,51.0,2.6,9.1
2040-03-11,0.5,-10.8,-5.15,0.0,62.0,3.8,8.1
2040-03-12,0.4,-7.3,-3.4499999999999997,0.1,68.0,2.6,6.4
2040-03-13,1.6,-5.3,-1.8499999999999999,0.0,61.0,2.6,8.8
2040-03-14,6.2,-11.2,-2.4999999999999996,0.0,36.0,1.9,11.2
2040-03-15,6.1,-15.3,-4.6000000000000005,0.0,30.0,0.6,12.1
2040-03-16,6.8,-15.3,-4.25,0.2,28.0,0.6,12.3
2040-03-17,0.1,-9.9,-4.9,0.0,56.0,2.6,11.2
2040-03-18,-1.6,-13.5,-7.55,0.0,51.0,1.9,11.5
2040-03-19,-0.1,-18.2,-9.15,0.0,47.0,0.6,10.7
2040-03-20,-0.7,-19.7,-10.2,0.0,44.0,1.3,12.8
2040-03-21,-1.4,-18.4,-9.899999999999999,0.0,41.0,1.3,12.8
2040-03-22,-0.6,-15.5,-8.05,0.0,42.0,0.6,12.5
2040-03-23,-0.1,-18.5,-9.3,0.0,45.0,1.3,13.4
2040-03-24,1.5,-17.3,-7.9,0.0,38.0,1.9,13.6
2040-03-25,4.0,-14.4,-5.2,0.0,34.0,1.9,13.9
2040-03-26,3.8,-11.8,-4.0,0.5,42.0,2.6,13.6
2040-03-27,2.1,-1.4,0.3500000000000001,0.8,82.0,1.9,6.9
2040-03-28,5.4,-2.3,1.5500000000000003,0.3,70.0,1.9,8.8
2040-03-29,10.8,0.3,5.550000000000001,0.0,43.0,3.8,12.4
2040-03-30,6.8,2.5,4.65,2.3,73.0,3.2,2.8
2040-03-31,4.9,3.6,4.25,2.2,95.0,1.9,3.1
2040-04-01,5.8,3.3,4.55,0.1,77.0,1.3,5.4
2040-04-02,6.9,2.4,4.65,0.0,55.0,1.3,8.0
2040-04-03,7.6,2.8,5.199999999999999,0.0,46.0,1.3,9.4
2040-04-04,8.6,2.4,5.5,0.0,47.0,1.3,10.3
2040-04-05,10.8,1.7,6.25,0.4,51.0,1.3,14.4
2040-04-06,14.1,3.7,8.9,0.0,62.0,2.6,13.3
2040-04-07,12.0,2.9,7.45,0.0,48.0,1.9,15.5
2040-04-08,6.8,3.6,5.2,0.0,78.0,3.8,4.4
2040-04-09,5.4,2.0,3.7,0.0,82.0,1.3,4.2
2040-04-10,8.2,1.8,5.0,0.1,39.0,1.3,10.3
2040-04-11,10.2,0.6,5.3999999999999995,0.4,39.0,2.6,13.2
2040-04-12,11.0,3.0,7.0,0.0,60.0,1.3,12.4
2040-04-13,13.8,3.0,8.4,0.0,58.0,1.3,15.0
2040-04-14,15.5,1.5,8.5,0.0,49.0,1.3,14.2
2040-04-15,14.8,1.3,8.05,0.7,48.0,1.3,9.5
2040-04-16,16.5,2.5,9.5,0.0,46.0,1.3,17.1
2040-04-17,13.1,3.0,8.05,0.0,56.0,2.6,14.5
2040-04-18,10.2,3.0,6.6,3.2,66.0,2.6,8.8
2040-04-19,8.4,2.8,5.6,4.5,70.0,3.2,10.1
2040-04-20,5.3,3.3,4.3,3.0,91.0,3.8,4.4
2040-04-21,10.5,2.9,6.7,0.0,53.0,1.9,12.6
2040-04-22,13.2,1.4,7.3,0.0,43.0,1.9,14.7
2040-04-23,15.7,-0.6,7.55,0.0,38.0,1.9,16.9
2040-04-24,16.6,4.7,10.65,2.1,64.0,1.9,9.4
2040-04-25,19.4,9.0,14.2,0.1,64.0,2.6,14.6
2040-04-26,23.6,6.2,14.9,3.1,34.0,2.6,19.1
2040-04-27,19.6,11.8,15.700000000000001,0.0,43.0,2.6,10.9
2040-04-28,15.9,6.0,10.95,0.9,77.0,2.6,6.2
2040-04-29,22.9,8.9,15.899999999999999,0.3,46.0,2.6,19.3
2040-04-30,19.0,7.8,13.4,0.1,62.0,3.2,13.2
2040-05-01,13.0,6.9,9.95,0.0,57.0,3.8,13.0
2040-05-02,10.8,1.1,5.95,0.0,28.0,3.2,24.8
2040-05-03,12.5,-2.6,4.95,0.0,28.0,2.6,25.1
2040-05-04,16.5,-1.6,7.45,0.0,22.0,3.2,25.4
2040-05-05,17.4,4.7,11.049999999999999,0.0,38.0,3.2,24.8
2040-05-06,18.6,0.9,9.75,0.0,29.0,1.9,25.3
2040-05-07,17.9,3.7,10.799999999999999,0.0,39.0,3.2,20.0
2040-05-08,16.5,5.3,10.9,4.2,52.0,2.6,8.1
2040-05-09,13.8,7.2,10.5,0.0,64.0,4.5,8.0
2040-05-10,11.1,4.9,8.0,0.9,47.0,3.8,15.9
2040-05-11,11.5,3.8,7.65,0.1,33.0,3.2,23.1
2040-05-12,11.4,0.4,5.9,0.1,45.0,1.9,17.0
2040-05-13,13.8,-1.6,6.1000000000000005,0.0,34.0,2.6,26.0
2040-05-14,19.9,1.9,10.899999999999999,0.0,30.0,1.3,26.3
2040-05-15,20.1,4.0,12.05,0.0,45.0,1.3,10.5
2040-05-16,25.0,7.7,16.35,0.0,26.0,3.2,25.6
2040-05-17,24.1,7.6,15.850000000000001,0.0,26.0,1.9,22.0
2040-05-18,21.4,9.4,15.399999999999999,3.9,42.0,2.6,15.7
2040-05-19,13.1,5.1,9.1,0.3,52.0,2.6,12.5
2040-05-20,6.6,-1.0,2.8,0.0,53.0,1.9,9.3
2040-05-21,9.2,2.8,6.0,0.0,47.0,2.6,14.3
2040-05-22,10.6,-1.9,4.35,2.9,45.0,1.3,17.1
2040-05-23,10.0,4.3,7.15,1.1,77.0,3.2,8.7
2040-05-24,11.8,5.7,8.75,3.0,57.0,1.9,9.0
2040-05-25,10.8,4.3,7.550000000000001,3.1,67.0,1.3,10.9
2040-05-26,10.2,4.6,7.3999999999999995,1.9,73.0,1.3,9.4
2040-05-27,17.3,1.1,9.200000000000001,0.0,39.0,1.9,22.5
2040-05-28,16.7,8.2,12.45,0.0,49.0,1.3,13.7
2040-05-29,22.9,3.6,13.25,0.0,39.0,1.9,24.3
2040-05-30,25.9,11.3,18.6,2.1,37.0,3.8,19.6
2040-05-31,21.4,15.2,18.299999999999997,1.7,75.0,2.6,12.0
2040-06-01,25.2,15.3,20.25,0.1,54.0,3.8,18.7
2040-06-02,30.2,18.2,24.2,0.0,44.0,3.2,22.0
2040-06-03,29.9,19.8,24.85,13.2,45.0,2.6,16.6
2040-06-04,28.2,14.8,21.5,0.0,22.0,1.9,28.5
2040-06-05,27.6,8.8,18.200000000000003,0.0,24.0,1.3,26.8
2040-06-06,27.6,13.2,20.4,0.0,22.0,2.6,27.2
2040-06-07,29.1,9.4,19.25,0.0,24.0,1.3,28.0
2040-06-08,30.3,11.5,20.9,0.0,27.0,1.9,27.0
2040-06-09,29.1,13.2,21.15,0.0,36.0,2.6,26.3
2040-06-10,29.0,13.5,21.25,93.9,44.0,1.9,14.8
2040-06-11,28.3,12.0,20.15,3.2,44.0,2.6,25.3
2040-06-12,24.7,11.9,18.3,0.0,35.0,3.2,29.7
2040-06-13,20.7,2.7,11.7,0.0,32.0,1.9,31.1
2040-06-14,22.6,9.2,15.9,0.0,53.0,3.2,21.2
2040-06-15,24.7,11.1,17.9,0.0,41.0,1.3,25.1
2040-06-16,26.2,10.2,18.2,0.0,33.0,1.9,25.3
2040-06-17,26.5,13.3,19.9,0.0,33.0,1.9,27.9
2040-06-18,26.2,11.1,18.65,0.5,37.0,1.9,17.3
2040-06-19,25.5,16.4,20.95,0.3,45.0,3.2,18.4
2040-06-20,22.7,16.4,19.549999999999997,2.1,69.0,2.6,9.6
2040-06-21,19.7,14.5,17.1,0.2,63.0,3.2,14.7
2040-06-22,21.6,11.7,16.65,0.0,50.0,2.6,22.6
2040-06-23,20.0,9.3,14.65,0.8,62.0,3.8,7.2
2040-06-24,20.0,11.7,15.85,21.7,61.0,3.2,18.0
2040-06-25,17.6,13.4,15.5,17.2,93.0,3.2,3.3
2040-06-26,21.8,12.1,16.95,0.0,49.0,1.3,22.3
2040-06-27,20.2,12.1,16.15,0.2,72.0,1.9,11.0
2040-06-28,19.7,11.0,15.35,0.4,55.0,3.8,22.9
2040-06-29,21.2,10.3,15.75,0.0,47.0,1.9,21.7
2040-06-30,24.7,11.1,17.9,0.0,46.0,1.9,26.3
2040-07-01,22.9,11.4,17.15,0.0,42.0,1.9,30.4
2040-07-02,21.1,11.9,16.5,0.0,50.0,1.9,21.9
2040-07-03,22.3,9.2,15.75,0.0,39.0,1.3,24.1
2040-07-04,20.9,10.7,15.799999999999999,0.1,60.0,1.9,15.8
2040-07-05,19.6,12.3,15.950000000000001,0.3,59.0,1.3,12.9
2040-07-06,21.9,10.9,16.4,0.0,47.0,1.3,17.9
2040-07-07,21.7,13.5,17.6,2.7,62.0,1.3,16.4
2040-07-08,21.4,12.0,16.7,3.6,71.0,0.6,13.2
2040-07-09,24.1,9.5,16.8,0.0,49.0,1.3,20.4
2040-07-10,24.8,10.6,17.7,2.0,42.0,2.6,23.9
2040-07-11,22.8,15.0,18.9,0.0,43.0,3.2,23.1
2040-07-12,19.6,10.1,14.850000000000001,11.0,65.0,1.3,7.1
2040-07-13,20.7,12.9,16.8,0.0,68.0,1.9,15.3
2040-07-14,21.6,8.7,15.15,0.0,56.0,1.9,20.2
2040-07-15,23.9,10.8,17.35,0.0,35.0,0.6,18.6
2040-07-16,24.4,10.8,17.6,12.8,44.0,2.6,23.6
2040-07-17,22.0,15.9,18.95,0.1,67.0,2.6,11.8
2040-07-18,18.6,14.1,16.35,2.5,79.0,2.6,10.3
