w_date,tmax,tmin,tavg,rain,relhumid,wind,srad
1980-01-01,17.2,6.0,11.6,0.0,68.7,6.1,8.25
1980-01-02,16.2,3.8,10.0,0.0,51.5,6.7,9.9
1980-01-03,10.0,0.8,5.4,0.0,43.6,4.1,10.34
1980-01-04,11.6,0.0,5.8,0.0,59.3,4.1,10.34
1980-01-05,15.4,1.8,8.6,0.0,66.8,1.9,9.9
1980-01-06,12.4,1.2,6.8,0.0,61.3,1.7,9.79
1980-01-07,9.8,0.4,5.1000000000000005,0.0,65.6,0.3,9.46
1980-01-08,3.8,-1.2,1.2999999999999998,1.32,73.2,0.3,3.41
1980-01-09,7.0,3.2,5.1,0.44,65.9,0.6,3.41
1980-01-10,11.0,3.6,7.3,0.0,65.4,0.6,6.82
1980-01-11,12.2,1.8,7.0,0.0,58.3,4.2,9.35
1980-01-12,8.0,-1.0,3.5,0.0,58.4,0.6,10.78
1980-01-13,1.8,-0.6,0.6000000000000001,0.22,60.4,1.9,3.52
1980-01-14,12.4,1.2,6.8,0.0,62.1,1.9,5.28
1980-01-15,10.4,1.8,6.1000000000000005,0.0,64.5,2.2,10.67
1980-01-16,10.8,-1.0,4.9,0.0,60.3,0.6,10.56
1980-01-17,5.6,-0.4,2.5999999999999996,0.0,71.0,1.1,3.63
1980-01-18,7.6,-2.2,2.6999999999999997,0.0,67.8,0.3,8.03
1980-01-19,10.2,-2.4,3.8999999999999995,0.0,61.6,0.3,7.7
1980-01-20,12.8,1.4,7.1000000000000005,0.0,65.8,0.3,10.67
1980-01-21,12.2,1.6,6.8999999999999995,0.0,67.0,0.6,7.92
1980-01-22,17.4,3.8,10.6,0.0,63.0,1.4,11.66
1980-01-23,17.4,6.6,12.0,0.22,64.2,1.1,7.26
1980-01-24,13.6,8.0,10.8,0.0,57.3,0.3,5.5
1980-01-25,16.6,5.6,11.100000000000001,0.0,75.1,0.3,6.49
1980-01-26,12.0,4.4,8.2,0.0,70.4,0.6,3.96
1980-01-27,14.6,3.4,9.0,0.0,62.1,0.8,6.27
1980-01-28,14.2,5.8,10.0,0.0,76.0,1.1,7.37
1980-01-29,12.2,2.8,7.5,0.0,72.2,0.6,8.8
1980-01-30,8.0,6.4,7.2,0.55,70.6,1.1,4.18
1980-01-31,11.6,6.4,9.0,2.86,93.9,1.7,5.17
1980-02-01,15.0,8.0,11.5,0.0,54.1,8.1,11.88
1980-02-02,15.8,3.4,9.6,0.0,62.4,3.1,10.67
1980-02-03,18.0,9.0,13.5,0.0,62.5,1.4,12.54
1980-02-04,22.4,10.2,16.299999999999997,0.0,63.3,1.9,12.98
1980-02-05,23.0,7.6,15.3,0.0,64.1,1.1,12.98
1980-02-06,19.2,6.2,12.7,0.0,67.1,1.9,13.09
1980-02-07,18.2,9.2,13.7,0.0,55.9,2.2,13.53
1980-02-08,21.4,5.2,13.299999999999999,0.0,59.1,1.9,13.75
1980-02-09,18.4,5.4,11.899999999999999,0.33,80.6,1.7,11.22
1980-02-10,12.6,6.6,9.6,2.42,75.8,0.6,5.06
1980-02-11,15.6,2.6,9.1,0.0,52.3,1.4,14.3
1980-02-12,16.0,2.2,9.1,0.0,42.0,1.0,14.41
1980-02-13,16.0,1.2,8.6,0.0,47.7,0.6,13.86
1980-02-14,15.6,2.6,9.1,0.0,64.2,0.3,12.54
1980-02-15,16.8,5.4,11.100000000000001,0.0,69.1,0.3,13.09
1980-02-16,20.2,8.8,14.5,0.0,53.7,2.8,10.67
1980-02-17,19.6,2.4,11.0,0.0,52.5,1.4,15.73
1980-02-18,19.4,3.2,11.299999999999999,0.0,52.4,0.8,15.4
1980-02-19,15.2,5.8,10.5,1.1,65.0,2.8,7.37
1980-02-20,12.4,9.8,11.100000000000001,0.44,90.0,5.6,5.28
1980-02-21,14.4,10.4,12.4,0.0,75.3,3.1,5.28
1980-02-22,14.4,10.4,12.4,0.0,89.8,0.6,5.39
1980-02-23,17.4,9.4,13.399999999999999,0.0,75.1,1.3,8.8
1980-02-24,18.2,11.8,15.0,0.88,89.6,1.9,8.69
1980-02-25,16.4,11.2,13.799999999999999,1.87,88.9,1.1,6.27
1980-02-26,11.4,8.0,9.7,0.88,95.1,1.4,5.61
1980-02-27,13.4,5.5,9.45,0.0,50.7,1.4,13.2
1980-02-28,14.0,3.4,8.7,0.0,56.7,1.1,12.54
1980-02-29,11.4,2.0,6.7,0.22,49.0,0.6,9.9
1980-03-01,13.0,1.4,7.2,0.0,48.6,0.7,10.89
1980-03-02,17.4,4.4,10.899999999999999,0.0,65.7,0.7,13.2
1980-03-03,16.2,4.6,10.399999999999999,0.0,62.1,1.1,9.13
1980-03-04,15.6,5.6,10.6,0.11,64.8,1.4,13.42
1980-03-05,16.6,9.6,13.100000000000001,0.0,61.2,1.7,11.99
1980-03-06,19.4,6.0,12.7,0.0,60.9,1.1,9.46
1980-03-07,17.4,9.0,13.2,0.0,50.3,5.6,19.25
1980-03-08,16.0,8.0,12.0,0.0,54.2,9.7,19.14
1980-03-09,20.0,9.0,14.5,0.0,50.1,7.5,19.25
1980-03-10,17.6,5.4,11.5,0.0,52.8,1.4,17.93
