w_date,tmax,tmin,tavg,rain,relhumid,wind,srad
1980-01-01,15.2,4.0,9.6,0.0,68.7,6.1,8.25
1980-01-02,14.2,1.8,8.0,0.0,51.5,6.7,9.9
1980-01-03,8.0,-1.2,3.4,0.0,43.6,4.1,10.34
1980-01-04,9.6,-2.0,3.8,0.0,59.3,4.1,10.34
1980-01-05,13.4,-0.2,6.6000000000000005,0.0,66.8,1.9,9.9
1980-01-06,10.4,-0.8,4.8,0.0,61.3,1.7,9.79
1980-01-07,7.8,-1.6,3.0999999999999996,0.0,65.6,0.3,9.46
1980-01-08,1.8,-3.2,-0.7000000000000001,1.2,73.2,0.3,3.41
1980-01-09,5.0,1.2,3.1,0.4,65.9,0.6,3.41
1980-01-10,9.0,1.6,5.3,0.0,65.4,0.6,6.82
1980-01-11,10.2,-0.2,5.0,0.0,58.3,4.2,9.35
1980-01-12,6.0,-3.0,1.5,0.0,58.4,0.6,10.78
1980-01-13,-0.2,-2.6,-1.4000000000000001,0.2,60.4,1.9,3.52
1980-01-14,10.4,-0.8,4.8,0.0,62.1,1.9,5.28
1980-01-15,8.4,-0.2,4.1000000000000005,0.0,64.5,2.2,10.67
1980-01-16,8.8,-3.0,2.9000000000000004,0.0,60.3,0.6,10.56
1980-01-17,3.6,-2.4,0.6000000000000001,0.0,71.0,1.1,3.63
1980-01-18,5.6,-4.2,0.6999999999999997,0.0,67.8,0.3,8.03
1980-01-19,8.2,-4.4,1.8999999999999995,0.0,61.6,0.3,7.7
1980-01-20,10.8,-0.6,5.1000000000000005,0.0,65.8,0.3,10.67
1980-01-21,10.2,-0.4,4.8999999999999995,0.0,67.0,0.6,7.92
1980-01-22,15.4,1.8,8.6,0.0,63.0,1.4,11.66
1980-01-23,15.4,4.6,10.0,0.2,64.2,1.1,7.26
1980-01-24,11.6,6.0,8.8,0.0,57.3,0.3,5.5
1980-01-25,14.6,3.6,9.1,0.0,75.1,0.3,6.49
1980-01-26,10.0,2.4,6.2,0.0,70.4,0.6,3.96
1980-01-27,12.6,1.4,7.0,0.0,62.1,0.8,6.27
1980-01-28,12.2,3.8,8.0,0.0,76.0,1.1,7.37
1980-01-29,10.2,0.8,5.5,0.0,72.2,0.6,8.8
1980-01-30,6.0,4.4,5.2,0.5,70.6,1.1,4.18
1980-01-31,9.6,4.4,7.0,2.6,93.9,1.7,5.17
1980-02-01,13.0,6.0,9.5,0.0,54.1,8.1,11.88
1980-02-02,13.8,1.4,7.6000000000000005,0.0,62.4,3.1,10.67
1980-02-03,16.0,7.0,11.5,0.0,62.5,1.4,12.54
1980-02-04,20.4,8.2,14.299999999999999,0.0,63.3,1.9,12.98
1980-02-05,21.0,5.6,13.3,0.0,64.1,1.1,12.98
1980-02-06,17.2,4.2,10.7,0.0,67.1,1.9,13.09
1980-02-07,16.2,7.2,11.7,0.0,55.9,2.2,13.53
1980-02-08,19.4,3.2,11.299999999999999,0.0,59.1,1.9,13.75
1980-02-09,16.4,3.4,9.899999999999999,0.3,80.6,1.7,11.22
1980-02-10,10.6,4.6,7.6,2.2,75.8,0.6,5.06
1980-02-11,13.6,0.6,7.1,0.0,52.3,1.4,14.3
1980-02-12,14.0,0.2,7.1,0.0,42.0,1.0,14.41
1980-02-13,14.0,-0.8,6.6,0.0,47.7,0.6,13.86
1980-02-14,13.6,0.6,7.1,0.0,64.2,0.3,12.54
1980-02-15,14.8,3.4,9.1,0.0,69.1,0.3,13.09
1980-02-16,18.2,6.8,12.5,0.0,53.7,2.8,10.67
1980-02-17,17.6,0.4,9.0,0.0,52.5,1.4,15.73
1980-02-18,17.4,1.2,9.299999999999999,0.0,52.4,0.8,15.4
1980-02-19,13.2,3.8,8.5,1.0,65.0,2.8,7.37
1980-02-20,10.4,7.8,9.1,0.4,90.0,5.6,5.28
1980-02-21,12.4,8.4,10.4,0.0,75.3,3.1,5.28
1980-02-22,12.4,8.4,10.4,0.0,89.8,0.6,5.39
1980-02-23,15.4,7.4,11.4,0.0,75.1,1.3,8.8
1980-02-24,16.2,9.8,13.0,0.8,89.6,1.9,8.69
1980-02-25,14.4,9.2,11.8,1.7,88.9,1.1,6.27
1980-02-26,9.4,6.0,7.7,0.8,95.1,1.4,5.61
1980-02-27,11.4,3.5,7.45,0.0,50.7,1.4,13.2
1980-02-28,12.0,1.4,6.7,0.0,56.7,1.1,12.54
1980-02-29,9.4,0.0,4.7,0.2,49.0,0.6,9.9
1980-03-01,11.0,-0.6,5.2,0.0,48.6,0.7,10.89
1980-03-02,15.4,2.4,8.9,0.0,65.7,0.7,13.2
1980-03-03,14.2,2.6,8.4,0.0,62.1,1.1,9.13
1980-03-04,13.6,3.6,8.6,0.1,64.8,1.4,13.42
1980-03-05,14.6,7.6,11.1,0.0,61.2,1.7,11.99
1980-03-06,17.4,4.0,10.7,0.0,60.9,1.1,9.46
1980-03-07,15.4,7.0,11.2,0.0,50.3,5.6,19.25
1980-03-08,14.0,6.0,10.0,0.0,54.2,9.7,19.14
1980-03-09,18.0,7.0,12.5,0.0,50.1,7.5,19.25
1980-03-10,15.6,3.4,9.5,0.0,52.8,1.4,17.93
1980-03-11,17.0,2.8,9.9,0.0,50.7,3.1,19.25
1980-03-12,17.4,4.0,10.7,0.0,52.6,2.8,18.37
1980-03-13,10.6,3.2,6.9,0.0,69.0,8.6,13.42
1980-03-14,10.8,2.0,6.4,0.0,44.6,7.5,19.47
1980-03-15,13.6,0.0,6.8,0.0,48.6,4.4,18.81
1980-03-16,17.0,0.2,8.6,0.0,53.5,2.2,20.02
1980-03-17,16.0,2.0,9.0,0.0,55.0,0.6,20.68
1980-03-18,16.8,3.2,10.0,0.0,57.4,3.3,18.7
1980-03-19,13.0,6.4,9.7,6.7,85.2,1.9,7.15
1980-03-20,13.6,3.4,8.5,0.0,51.0,2.8,18.15
1980-03-21,13.4,3.2,8.3,14.4,45.3,0.6,15.29
1980-03-22,13.2,5.4,9.3,0.0,49.8,6.7,15.95
1980-03-23,14.8,3.0,8.9,0.0,46.8,3.1,22.66
1980-03-24,17.4,2.0,9.7,0.0,50.6,1.7,22.55
1980-03-25,16.0,7.2,11.6,0.2,48.1,3.6,21.23
1980-03-26,19.0,8.0,13.5,0.2,61.1,1.4,18.04
1980-03-27,20.2,11.6,15.899999999999999,0.0,50.9,1.4,13.75
1980-03-28,23.2,10.6,16.9,0.0,49.0,3.1,20.79
1980-03-29,20.0,12.0,16.0,0.0,69.5,3.3,13.42
1980-03-30,20.4,8.4,14.399999999999999,0.0,47.4,2.5,23.32
1980-03-31,27.0,7.2,17.1,0.0,56.5,0.6,23.76
1980-04-01,27.0,11.8,19.4,0.0,49.5,3.3,22.99
1980-04-02,19.6,11.6,15.600000000000001,0.0,47.1,3.9,22.88
1980-04-03,19.4,7.0,13.2,0.0,48.0,2.2,24.75
1980-04-04,19.2,6.2,12.7,0.0,39.2,3.3,25.08
