w_date,tmax,tmin,tavg,rain,relhumid,wind,srad
2040-01-01,18.3,6.1,12.2,0.0,68.7,6.1,8.3
2040-01-02,17.3,3.8,10.55,0.0,51.5,6.7,10.0
2040-01-03,11.1,0.8,5.95,0.0,43.6,4.1,10.4
2040-01-04,12.7,0.0,6.35,0.0,59.3,4.1,10.4
2040-01-05,16.4,1.8,9.1,0.0,66.8,1.9,10.0
2040-01-06,13.4,1.2,7.3,0.0,61.3,1.7,9.9
2040-01-07,10.8,0.4,5.6000000000000005,0.0,65.6,0.3,9.5
2040-01-08,4.8,-1.2,1.7999999999999998,0.9,73.2,0.3,3.4
2040-01-09,8.0,3.2,5.6,0.3,65.9,0.6,3.4
2040-01-10,12.0,3.6,7.8,0.0,65.4,0.6,6.8
2040-01-11,13.1,1.7,7.3999999999999995,0.0,58.3,4.2,9.4
2040-01-12,8.9,-1.1,3.9000000000000004,0.0,58.4,0.6,10.8
2040-01-13,2.7,-0.7,1.0,0.2,60.4,1.9,3.5
2040-01-14,13.3,1.1,7.2,0.0,62.1,1.9,5.3
2040-01-15,11.3,1.7,6.5,0.0,64.5,2.2,10.7
2040-01-16,11.7,-1.1,5.3,0.0,60.3,0.6,10.6
2040-01-17,6.5,-0.5,3.0,0.0,71.0,1.1,3.6
2040-01-18,8.4,-2.3,3.0500000000000003,0.0,67.8,0.3,8.0
2040-01-19,11.0,-2.5,4.25,0.0,61.6,0.3,7.7
2040-01-20,13.6,1.3,7.45,0.0,65.8,0.3,10.6
2040-01-21,13.0,1.5,7.25,0.0,67.0,0.6,7.9
2040-01-22,18.2,3.7,10.95,0.0,63.0,1.4,11.6
2040-01-23,18.2,6.5,12.35,0.2,64.2,1.1,7.2
2040-01-24,14.3,7.9,11.100000000000001,0.0,57.3,0.3,5.4
2040-01-25,17.3,5.5,11.4,0.0,75.1,0.3,6.4
2040-01-26,12.7,4.3,8.5,0.0,70.4,0.6,3.9
2040-01-27,15.3,3.3,9.3,0.0,62.1,0.8,6.2
2040-01-28,14.9,5.7,10.3,0.0,76.0,1.1,7.2
2040-01-29,12.9,2.7,7.800000000000001,0.0,72.2,0.6,8.6
2040-01-30,8.6,6.3,7.449999999999999,0.4,70.6,1.1,4.1
2040-01-31,12.2,6.3,9.25,2.3,93.9,1.7,5.1
2040-02-01,15.6,7.9,11.75,0.0,54.1,8.1,11.6
2040-02-02,16.4,3.3,9.85,0.0,62.4,3.1,10.4
2040-02-03,18.6,8.9,13.75,0.0,62.5,1.4,12.2
2040-02-04,23.0,10.1,16.55,0.0,63.3,1.9,12.6
2040-02-05,23.5,7.5,15.5,0.0,64.1,1.1,12.6
2040-02-06,19.7,6.1,12.899999999999999,0.0,67.1,1.9,12.7
2040-02-07,18.7,9.1,13.899999999999999,0.0,55.9,2.2,13.1
2040-02-08,21.9,5.1,13.5,0.0,59.1,1.9,13.3
2040-02-09,18.9,5.3,12.1,0.3,80.6,1.7,10.8
2040-02-10,13.0,6.5,9.75,2.1,75.8,0.6,4.9
2040-02-11,16.0,2.5,9.25,0.0,52.3,1.4,13.7
2040-02-12,16.4,2.1,9.25,0.0,42.0,1.0,13.8
2040-02-13,16.4,1.1,8.75,0.0,47.7,0.6,13.3
2040-02-14,16.0,2.5,9.25,0.0,64.2,0.3,12.0
2040-02-15,17.2,5.3,11.25,0.0,69.1,0.3,12.5
2040-02-16,20.6,8.7,14.65,0.0,53.7,2.8,10.2
2040-02-17,19.9,2.3,11.1,0.0,52.5,1.4,15.0
2040-02-18,19.7,3.1,11.4,0.0,52.4,0.8,14.6
2040-02-19,15.5,5.7,10.6,1.1,65.0,2.8,7.0
2040-02-20,12.7,9.7,11.2,0.4,90.0,5.6,5.0
2040-02-21,14.7,10.3,12.5,0.0,75.3,3.1,5.0
2040-02-22,14.7,10.3,12.5,0.0,89.8,0.6,5.1
2040-02-23,17.7,9.3,13.5,0.0,75.1,1.3,8.3
2040-02-24,18.5,11.7,15.1,0.9,89.6,1.9,8.2
2040-02-25,16.7,11.1,13.899999999999999,1.9,88.9,1.1,5.9
2040-02-26,11.7,7.9,9.8,0.9,95.1,1.4,5.3
2040-02-27,13.7,5.4,9.55,0.0,50.7,1.4,12.4
2040-02-28,14.2,3.3,8.75,0.0,56.7,1.1,11.7
2040-02-29,11.6,1.9,6.75,0.2,49.0,0.6,9.2
2040-03-01,13.2,1.3,7.25,0.0,48.6,0.7,10.1
2040-03-02,17.6,4.3,10.950000000000001,0.0,65.7,0.7,12.3
2040-03-03,16.4,4.5,10.45,0.0,62.1,1.1,8.5
2040-03-04,15.8,5.5,10.65,0.1,64.8,1.4,12.4
2040-03-05,16.8,9.5,13.15,0.0,61.2,1.7,11.1
2040-03-06,19.6,5.9,12.75,0.0,60.9,1.1,8.7
2040-03-07,17.6,8.9,13.25,0.0,50.3,5.6,17.8
2040-03-08,16.2,7.9,12.05,0.0,54.2,9.7,17.6
2040-03-09,20.2,8.9,14.55,0.0,50.1,7.5,17.7
2040-03-10,17.8,5.3,11.55,0.0,52.8,1.4,16.5
2040-03-11,19.1,4.7,11.9,0.0,50.7,3.1,17.6
2040-03-12,19.5,5.9,12.7,0.0,52.6,2.8,16.8
2040-03-13,12.7,5.1,8.899999999999999,0.0,69.0,8.6,12.3
2040-03-14,12.9,3.9,8.4,0.0,44.6,7.5,17.8
2040-03-15,15.7,1.9,8.799999999999999,0.0,48.6,4.4,17.1
2040-03-16,19.1,2.2,10.65,0.0,53.5,2.2,18.2
2040-03-17,18.1,3.9,11.0,0.0,55.0,0.6,18.8
2040-03-18,18.9,5.1,12.0,0.0,57.4,3.3,17.0
2040-03-19,15.1,8.3,11.7,8.5,85.2,1.9,6.5
2040-03-20,15.7,5.3,10.5,0.0,51.0,2.8,16.5
2040-03-21,15.5,5.1,10.3,18.3,45.3,0.6,13.9
2040-03-22,15.3,7.3,11.3,0.0,49.8,6.7,14.5
2040-03-23,16.9,4.9,10.899999999999999,0.0,46.8,3.1,20.6
2040-03-24,19.5,3.9,11.7,0.0,50.6,1.7,20.5
2040-03-25,18.1,9.1,13.600000000000001,0.3,48.1,3.6,19.3
2040-03-26,21.1,9.9,15.5,0.3,61.1,1.4,16.4
2040-03-27,22.2,13.5,17.85,0.0,50.9,1.4,12.5
2040-03-28,25.2,12.5,18.85,0.0,49.0,3.1,18.9
2040-03-29,22.0,13.9,17.95,0.0,69.5,3.3,12.2
2040-03-30,22.4,10.3,16.35,0.0,47.4,2.5,21.2
2040-03-31,29.0,9.1,19.05,0.0,56.5,0.6,21.6
2040-04-01,29.0,13.7,21.35,0.0,49.5,3.3,20.9
2040-04-02,21.6,13.5,17.55,0.0,47.1,3.9,20.8
2040-04-03,21.4,8.9,15.149999999999999,0.0,48.0,2.2,22.5
2040-04-04,21.2,8.1,14.649999999999999,0.0,39.2,3.3,22.8
2040-04-05,18.0,6.3,12.15,0.0,38.3,0.3,22.4
2040-04-06,18.6,5.5,12.05,0.0,40.4,1.7,21.5
2040-04-07,18.4,6.3,12.35,0.0,42.4,1.7,22.4
2040-04-08,19.2,6.1,12.649999999999999,0.0,47.3,3.9,12.9
2040-04-09,20.0,5.5,12.75,0.0,39.0,3.1,23.4
2040-04-10,20.0,2.9,11.45,0.0,39.9,1.4,21.6
2040-04-11,21.4,5.7,13.549999999999999,0.0,46.5,3.9,22.3
2040-04-12,19.2,6.3,12.75,0.0,48.1,3.6,10.8
2040-04-13,18.4,8.7,13.549999999999999,4.2,64.9,4.2,14.4
2040-04-14,13.6,10.9,12.25,22.5,91.4,5.0,7.9
2040-04-15,17.8,11.3,14.55,0.0,80.2,3.3,20.5
2040-04-16,17.2,9.3,13.25,11.1,55.5,0.6,14.0
2040-04-17,18.6,10.3,14.450000000000001,0.5,79.6,1.9,14.9
2040-04-18,20.6,9.1,14.850000000000001,0.0,57.9,1.4,18.3
2040-04-19,23.4,10.1,16.75,0.0,61.2,5.0,23.4
2040-04-20,21.0,9.9,15.45,0.0,47.8,8.3,25.4
2040-04-21,19.6,6.3,12.950000000000001,0.0,38.8,0.6,25.5
2040-04-22,20.6,5.3,12.950000000000001,0.0,43.2,3.3,25.6
2040-04-23,20.6,7.1,13.850000000000001,0.0,47.6,3.9,25.7
2040-04-24,21.4,6.9,14.149999999999999,0.0,45.5,1.9,24.7
2040-04-25,22.2,6.3,14.25,0.0,40.9,2.5,25.7
2040-04-26,24.0,8.1,16.05,0.0,45.3,3.1,24.4
2040-04-27,22.6,9.3,15.950000000000001,0.0,42.8,1.4,25.0
2040-04-28,20.6,11.1,15.850000000000001,1.0,42.2,2.2,14.0
2040-04-29,18.0,12.1,15.05,0.0,83.3,3.6,14.1
2040-04-30,19.6,9.9,14.75,0.1,55.2,2.2,12.2
2040-05-01,22.2,9.7,15.95,0.0,49.0,3.1,24.4
2040-05-02,24.0,10.5,17.25,0.0,51.9,0.6,20.3
2040-05-03,23.6,10.3,16.950000000000003,1.7,78.6,2.8,14.1
2040-05-04,23.2,11.1,17.15,0.0,55.8,6.1,22.2
2040-05-05,24.0,11.9,17.95,8.6,52.5,3.1,21.4
2040-05-06,21.8,14.1,17.95,0.0,60.5,6.4,23.7
2040-05-07,25.0,10.1,17.55,0.0,52.6,3.3,23.8
2040-05-08,23.2,14.7,18.95,0.0,38.1,5.6,27.0
2040-05-09,24.4,12.1,18.25,0.0,43.8,3.3,27.4
2040-05-10,27.6,11.5,19.55,0.0,53.2,1.7,26.6
2040-05-11,25.7,15.5,20.6,0.0,57.8,3.1,14.1
