// Jokioinen Jokioisten observatorio/Finland (ID 1201/WMO 02963) lat=60.81 lon=23.5 alt=104;;;;;;;;;;;;;;
w_date;tmax;tmin;rain;srad;wind;dewp_tx;vprsid_tx;rhumd_tx;dewp_tn;vprsd_tn;rhum_tn;TEST;tmax;tmin
20400505;15.7;3.1;0;25.2;3.2;2.1;7.1;38;-0.5;5.9;84;0;15.7;3.1
20400506;16.9;-0.7;0;25.7;1.9;-0.4;5.9;29;-3.4;4.8;93;0;16.9;-0.7
20400507;16.2;2.1;0;20.4;3.2;3;7.6;39;0.1;6.1;95;0;16.2;2.1
20400508;14.8;3.7;3.3;8.2;2.6;5.6;9.1;52;2.2;7.2;97;0;14.8;3.7
20400509;12.1;5.6;0;8.1;4.5;5.7;9.2;64;4.2;8.4;98;0;12.1;5.6
20400510;9.4;3.2;0.7;16.2;3.8;-1.4;5.5;47;1.2;6.6;93;0;9.4;3.2
20400511;9.7;2.1;0.1;23.5;3.2;-5.7;4;33;-0.8;5.7;88;0;9.7;2.1
20400512;9.6;-1.3;0.1;17.4;1.9;-1.7;5.4;45;-5.4;4.1;83;0;9.6;-1.3
20400513;12;-3.3;0;26.5;2.6;-3;4.9;34;-8.3;3.3;79;0;12;-3.3
20400514;18.1;0.2;0;26.8;1.3;1.3;6.7;30;-4.6;4.3;78;0;18.1;0.2
20400515;18.3;2.2;0;10.7;1.3;7.3;10.2;45;-0.2;6;91;0;18.3;2.2
20400516;23.2;5.9;0;26.2;3.2;4.3;8.3;26;4.7;8.6;96;0;23.2;5.9
20400517;22.4;5.9;0;22.4;1.9;3.6;7.9;26;3.9;8.1;90;0;22.4;5.9
20400518;19.7;7.7;3.1;15.9;2.6;7.8;10.6;42;6.5;9.7;94;0;19.7;7.7
20400519;11.4;3.4;0.2;12.7;2.6;2.2;7.1;52;1.9;7;96;0;11.4;3.4
20400520;4.9;-2.7;0;9.5;1.9;-4.5;4.4;53;-7.4;3.5;80;0;4.9;-2.7
20400521;7.5;1.1;0;14.5;2.6;-3.3;4.8;47;-0.8;5.8;95;0;7.5;1.1
20400522;8.9;-3.6;2.3;17.3;1.3;-2.5;5.1;45;-5.9;3.9;97;0;8.9;-3.6
20400523;8.4;2.7;0.9;8.8;3.2;4.5;8.4;77;1.3;6.7;97;0;8.4;2.7
20400524;10.2;4.1;2.5;9.1;1.9;2.2;7.1;57;2.9;7.5;97;0;10.2;4.1
20400525;9.2;2.7;2.6;11;1.3;3.4;7.8;67;1.4;6.8;98;0;9.2;2.7
20400526;8.6;3;1.5;9.5;1.3;3.9;8.1;73;1.8;6.9;98;0;8.6;3
20400527;15.7;-0.5;0;22.7;1.9;2.6;7.4;39;-2.5;5.1;96;0;15.7;-0.5
20400528;15.1;6.6;0;13.8;1.3;5.2;8.9;49;5.1;8.8;93;0;15.1;6.6
20400529;21.3;2.1;0;24.4;1.9;8.4;11;39;0.6;6.4;97;0;21.3;2.1
20400530;24.3;9.8;1.8;19.6;3.8;10.7;12.9;37;8.6;11.4;94;0;24.3;9.8
20400531;19.8;13.7;1.4;12;2.6;16.8;19.1;75;12.5;16;98;0;19.8;13.7
20400601;23.6;13.8;0.1;18.7;3.8;15.7;17.9;54;12.6;15.9;97;0;23.6;13.8
20400602;28.6;16.7;0;22;3.2;17.7;20.3;44;15.4;17.5;86;0;28.6;16.7
20400603;28.3;18.3;11.3;16.5;2.6;17.8;20.4;45;17.1;21;92;0;28.3;18.3
20400604;26.6;13.3;0;28.3;1.9;5.3;8.9;22;12.1;15.5;98;0;26.6;13.3
20400605;26.1;7.4;0;26.7;1.3;6.1;9.4;24;5.1;8.8;87;0;26.1;7.4
20400606;26.1;11.8;0;26.9;2.6;4.8;8.6;22;10.6;13.3;94;0;26.1;11.8
20400607;27.6;8;0;27.8;1.3;7.5;10.4;24;5.8;9.2;87;0;27.6;8
20400608;28.8;10.1;0;26.8;1.9;10.4;12.6;27;8.3;10.9;88;0;28.8;10.1
20400609;27.6;11.8;0;26;2.6;13.6;15.6;36;10.6;13.2;93;0;27.6;11.8
20400610;27.5;12.1;83.2;14.6;1.9;16.6;18.9;44;10.9;14;97;0;27.5;12.1
20400611;26.9;10.7;2.8;24.9;2.6;16;18.2;44;9.5;12.9;99;0;26.9;10.7
20400612;23.3;10.6;0;29.2;3.2;8.8;11.4;35;9.4;12.4;96;0;23.3;10.6
20400613;19.3;1.4;0;30.6;1.9;3.5;7.9;32;-1.1;5.7;91;0;19.3;1.4
20400614;21.2;7.9;0;20.8;3.2;12.9;14.9;53;4.6;8.5;81;0;21.2;7.9
20400615;23.3;9.8;0;24.6;1.3;11.2;13.3;41;7.3;10.2;84;0;23.3;9.8
20400616;24.8;8.9;0;24.8;1.9;9.5;11.9;33;7.7;10.7;94;0;24.8;8.9
20400617;25.2;12;0;27.4;1.9;9.8;12.1;33;8.6;11.2;78;0;25.2;12
20400618;24.9;9.9;0.4;17;1.9;11.2;13.3;37;8.6;11.3;93;0;24.9;9.9
20400619;24.2;15.2;0.3;18;3.2;13.4;15.4;45;13.9;17;94;0;24.2;15.2
20400620;21.4;15.2;1.9;9.4;2.6;17.1;19.5;69;13.9;17.4;96;0;21.4;15.2
20400621;18.4;13.3;0.2;14.5;3.2;12.4;14.5;63;12;15.4;98;0;18.4;13.3
20400622;20.3;10.5;0;22.1;2.6;11;13.1;50;9.2;12;94;0;20.3;10.5
20400623;18.8;8.1;0.7;7.1;3.8;12.5;14.5;62;6.8;10.1;96;0;18.8;8.1
20400624;18.9;10.6;19.6;17.7;3.2;12.4;14.4;61;8.4;11;86;0;18.9;10.6
20400625;16.5;12.4;15.6;3.2;3.2;15.2;18.5;93;11;14.4;99;0;16.5;12.4
20400626;20.7;11.1;0;21.9;1.3;11;13.1;49;9.7;13.1;99;0;20.7;11.1
20400627;19.1;11.1;0.2;10.8;1.9;15.2;17.2;72;9.7;13;98;0;19.1;11.1
20400628;18.6;10;0.4;22.5;3.8;10.5;12.7;55;8.6;11.7;96;0;18.6;10
20400629;20.2;9.3;0;21.2;1.9;9.7;12.1;47;7.9;10.8;94;0;20.2;9.3
20400630;23.7;10.1;0;25.8;1.9;13.1;15;46;8.7;11.5;94;0;23.7;10.1
20400701;21.9;10.4;0;29.8;1.9;9.8;12.1;42;8.6;11.2;89;0;21.9;10.4
20400702;20.1;11;0;21.5;1.9;10.6;12.7;50;9;11.5;88;0;20.1;11
20400703;21.3;8.3;0;23.6;1.3;8.1;10.8;39;6.8;10.6;100;0;21.3;8.3
20400704;19.9;9.8;0.1;15.5;1.9;13.1;15.1;60;8.3;11.5;97;0;19.9;9.8
20400705;18.7;11.4;0.3;12.6;1.3;11.5;13.5;59;9.9;12.9;96;0;18.7;11.4
20400706;21;10;0;17.6;1.3;10.5;12.7;47;8.5;11.7;97;0;21;10
20400707;20.8;12.6;2.5;16.1;1.3;14.5;16.5;62;11.1;13.7;93;0;20.8;12.6
20400708;20.5;11.1;3.2;13;0.6;16.3;18.5;71;9.6;13;99;0;20.5;11.1
20400709;23.2;8.7;0;20;1.3;13.4;15.4;49;7.1;10.8;100;0;23.2;8.7
20400710;23.9;9.8;1.8;23.5;2.6;11.8;13.8;42;8.2;11.7;99;0;23.9;9.8
20400711;22;14.2;0;22.7;3.2;10.1;12.3;43;9.8;12.2;74;0;22;14.2
20400712;18.8;9.3;9.9;6.9;1.3;12.9;14.9;65;7.7;11.1;98;0;18.8;9.3
20400713;19.9;12.1;0;15;1.9;14.8;16.9;68;10.5;14;100;0;19.9;12.1
20400714;20.8;7.9;0;19.8;1.9;12.8;14.8;56;6.3;10.2;100;0;20.8;7.9
20400715;23.1;10;0;18.3;0.6;8.1;10.8;35;8.4;11.8;99;0;23.1;10
20400716;23.6;10.1;11.6;23.1;2.6;12.1;14.1;44;8.4;11.8;99;0;23.6;10.1
20400717;21.3;15.2;0.1;11.6;2.6;16;18.2;67;13.5;16.9;96;0;21.3;15.2
20400718;17.9;13.4;2.3;10.1;2.6;14.8;16.9;79;11.7;15.2;99;0;17.9;13.4
20400719;20.5;14.3;2.5;12.8;2.6;15.4;17.5;68;12.6;15.6;95;0;20.5;14.3
20400720;21.2;13;0;18.4;1.9;13.1;15.1;56;11.3;13.9;93;0;21.2;13
20400721;20.9;9.3;0;14.8;1.3;15.3;17.4;66;7.6;11.2;100;0;20.9;9.3
20400722;23;10.8;0.7;13.2;1.3;18.1;20.8;68;9.1;12.5;99;0;23;10.8
20400723;25.1;12.3;0;23.3;1.3;15.8;18;51;10.6;14.2;100;0;25.1;12.3
20400724;26.7;10.6;0;24.4;1.3;12.5;14.5;37;8.8;12.2;99;0;26.7;10.6
20400725;27.8;12.6;0;21.6;0.6;17.2;19.7;47;10.8;14.2;99;0;27.8;12.6
20400726;28;13.5;0;23.8;1.9;16.8;19.1;45;11.7;15.1;98;0;28;13.5
20400727;26.9;13.5;0;24.2;2.6;13.4;15.4;39;11.7;14.6;95;0;26.9;13.5
20400728;28.6;12.6;0;24;1.9;14.3;16.3;37;10.8;13.6;95;0;28.6;12.6
20400729;30;13.1;0;23;1.3;16.1;18.4;38;11.3;14.6;98;0;30;13.1
20400730;30.5;15.1;0;19.7;1.3;16.2;18.5;37;13.3;16.6;96;0;30.5;15.1
20400731;30.7;14.2;0;20.2;0.6;16.4;18.7;37;12.4;16;99;0;30.7;14.2
20400801;28.9;14.6;0;20.4;1.3;16.5;18.8;42;12.8;16.7;100;0;28.9;14.6
20400802;28.1;12.7;0;20.5;1.3;14.5;16.5;39;10.8;14.2;99;0;28.1;12.7
20400803;23.8;15;3.4;11;0.6;20.5;24.2;76;13.1;16.5;97;0;23.8;15
20400804;25.9;13.4;0;17.3;1.9;15.2;17.2;47;11.5;15;99;0;25.9;13.4
20400805;24.1;16.6;0.1;10.3;1.9;19.1;22.1;68;14.7;18.6;97;0;24.1;16.6
20400806;22.1;17.6;7.6;10.3;1.9;17.8;20.4;72;15.7;20;97;0;22.1;17.6
20400807;23.4;9.4;0.5;18.2;0.6;12.5;14.5;47;7.5;11.2;100;0;23.4;9.4
20400808;19.2;15.3;0.6;4.9;1.9;17.2;20.2;88;13.4;17.3;99;0;19.2;15.3
20400809;15.6;12.5;5.8;4.6;1.9;13.2;15.2;86;10.6;14;99;0;15.6;12.5
20400810;16.7;11.7;0.5;7.9;0.6;13.7;15.7;82;9.7;13.1;99;0;16.7;11.7
20400811;22;9.6;4.4;14.2;0.6;15;17;61;7.6;11.2;100;0;22;9.6
20400812;25.1;16.1;0;15.3;2.6;17.8;20.4;59;14.1;18;98;0;25.1;16.1
20400813;25.8;16;0;16.4;2.6;14.9;17;47;14;17.3;95;0;25.8;16
20400814;25.7;12.1;0;16.6;1.3;15.5;17.6;49;10.1;13.4;98;0;25.7;12.1
20400815;24.9;11.1;1.8;13.4;1.3;18.9;21.8;64;9.1;12.5;99;0;24.9;11.1
20400816;21.5;9.8;0;21.1;2.6;9;11.5;43;7.7;10.5;92;0;21.5;9.8
20400817;17.4;5.7;0;8.6;1.9;9.9;12.2;61;3.7;8.2;99;0;17.4;5.7
20400818;22.3;9.7;0;19.1;1.3;7.6;10.5;37;7.7;10.9;96;0;22.3;9.7
20400819;24;6;0;20.7;1.3;9.4;11.8;37;4;8.3;98;0;24;6
20400820;21.3;7.4;5.9;13.4;3.2;10.5;12.7;48;5.4;9.4;99;0;21.3;7.4
20400821;18.6;14.7;10.3;9.5;2.6;16.5;19;87;12.7;16.2;98;0;18.6;14.7
20400822;19.1;11.1;2.1;10.4;2.6;13.4;15.4;68;9.1;12.5;99;0;19.1;11.1
20400823;17.6;7.9;0;7.9;1.9;9.1;11.6;57;5.9;9.9;100;0;17.6;7.9
20400824;16.9;10;0;9;1.3;8.9;11.4;59;8;10.9;94;0;16.9;10
20400825;17.3;7.7;0.6;10.2;1.9;9.6;11.9;60;5.7;9.3;96;0;17.3;7.7
20400826;18.3;9.6;0;13.8;1.9;9.6;12;56;7.6;10.8;96;0;18.3;9.6
20400827;17.5;10.4;0;13.9;1.3;8.3;11;54;8.4;11.5;96;0;17.5;10.4
20400828;14.4;9.7;25.4;4.4;3.2;9;11.5;71;7.7;11;97;0;14.4;9.7
20400829;18.5;12.8;0.1;12.3;2.6;11.2;13.3;61;10.8;13.9;97;0;18.5;12.8
20400830;14.5;10.4;0.1;4.8;2.6;9.1;11.6;71;8.4;11.1;93;0;14.5;10.4
20400831;16.2;3.8;0;17.9;1.9;3.3;7.8;42;1.8;6.9;98;0;16.2;3.8
20400901;19.7;2.1;0;17.4;1.3;5.1;8.8;37;-0.2;6;98;0;19.7;2.1
20400902;18.9;3.3;7.6;16.6;1.3;5.8;9.2;41;1.2;6.7;98;0;18.9;3.3
20400903;19.8;12.9;0.8;7;2.6;14.5;16.5;69;10.9;14.2;98;0;19.8;12.9
20400904;13.8;6.2;10.7;1.6;1.9;11.8;14.7;95;4.2;8.6;100;0;13.8;6.2
20400905;18.8;8.7;0;11.9;1.3;10;12.3;55;6.7;10.5;100;0;18.8;8.7
20400906;18.1;13.5;1.2;7.6;1.3;12.9;14.8;70;11.5;14.7;97;0;18.1;13.5
20400907;18;13;0;4.6;2.6;14.4;16.4;78;11;14.4;99;0;18;13
20400908;21.6;15;0;13;3.2;15.3;17.4;64;13;15.4;91;0;21.6;15
20400909;20.4;14.2;2.5;6.7;3.8;17.5;20;80;12.2;15;94;0;20.4;14.2
20400910;17.8;12.6;0.6;7.6;3.2;9.7;12;58;10.6;13.7;97;0;17.8;12.6
20400911;18.2;10.9;0.1;11.9;1.9;10.1;12.4;58;8.9;12.1;97;0;18.2;10.9
20400912;18.5;9.8;0;11.2;1.3;8.8;11.3;52;7.8;11.3;99;0;18.5;9.8
