// Jokioinen Jokioisten observatorio/Finland (ID 1201/WMO 02963) lat=60.81 lon=23.5 alt=104;;;;;;;;;;;;;;
w_date;tmax;tmin;rain;srad;wind;dewp_tx;vprsid_tx;rhumd_tx;dewp_tn;vprsd_tn;rhum_tn;TEST;tmax;tmin
20400101;0.1;-1.7;2;0.3;1.3;-3.8;4.6;92;-5.7;4;96;0;0.1;-1.7
20400102;-1.7;-3.5;2.3;0.5;3.2;-6.5;3.8;87;-7.6;3.4;97;0;-1.7;-3.5
20400103;-2.7;-3.9;2.7;0.4;3.8;-7.8;3.4;86;-9.1;3.1;90;0;-2.7;-3.9
20400104;-3.1;-5.5;0;0.4;0.6;-7.5;3.5;91;-10.3;2.8;95;0;-3.1;-5.5
20400105;-5;-11.1;0.2;0.5;1.3;-10.2;2.8;87;-16.9;1.6;93;0;-5;-11.1
20400106;-0.7;-8.7;0.7;0.4;2.6;-4.8;4.3;91;-13.7;2.1;97;0;-0.7;-8.7
20400107;0.2;-1.4;3.2;0.4;1.9;-3.6;4.7;92;-5.2;4.2;98;0;0.2;-1.4
20400108;-0.4;-3.4;0.5;0.5;1.9;-4.9;4.2;88;-7.9;3.4;95;0;-0.4;-3.4
20400109;-2.7;-3.5;0.9;0.3;1.3;-6.9;3.6;92;-8.3;3.3;93;0;-2.7;-3.5
20400110;-2.7;-12.7;0.1;0.8;1.3;-7.9;3.4;85;-18.8;1.4;92;0;-2.7;-12.7
20400111;-0.7;-8.1;0.1;0.5;1.3;-6;3.9;83;-13.1;2.2;96;0;-0.7;-8.1
20400112;-0.8;-3;0;0.4;1.9;-6.1;3.9;83;-7.7;3.4;93;0;-0.8;-3
20400113;0.9;-2.8;0;0.6;2.6;-3.3;4.8;89;-6.9;3.6;97;0;0.9;-2.8
20400114;3.4;1.3;0;0.5;3.2;-1.6;5.4;82;-3;4.9;92;0;3.4;1.3
20400115;3.1;-4.5;0.1;0.7;2.6;-2.3;5.2;80;-9.3;3;94;0;3.1;-4.5
20400116;-4.7;-13.8;0.7;1.4;1.9;-12.3;2.4;72;-19.8;1.3;94;0;-4.7;-13.8
20400117;0.4;-17.8;0;0.6;2.6;-4.5;4.4;85;-24.3;0.9;95;0;0.4;-17.8
20400118;2.4;-1.2;0;1.3;2.6;-3.4;4.7;77;-5.5;4.1;94;0;2.4;-1.2
20400119;-1.4;-12.8;0;1.7;0.6;-6.2;3.8;86;-18.5;1.4;96;0;-1.4;-12.8
20400120;-1.7;-13.6;0;1.2;1.3;-6.1;3.9;89;-19.2;1.3;97;0;-1.7;-13.6
20400121;-1.7;-5.6;0.1;0.9;1.9;-6.6;3.7;86;-10.6;2.7;93;0;-1.7;-5.6
20400122;-4.1;-6.4;0.4;0.6;1.9;-8.7;3.2;90;-11.6;2.5;93;0;-4.1;-6.4
20400123;-4;-6.2;0.7;0.5;2.6;-9.3;3;85;-11.3;2.6;93;0;-4;-6.2
20400124;-6.5;-14.7;1.2;1.3;3.8;-13;2.2;79;-22.1;1;84;0;-6.5;-14.7
20400125;-14.5;-17.8;0.2;1.3;3.2;-22.7;1;74;-25.9;0.7;82;0;-14.5;-17.8
20400126;-17.7;-23;0.6;2;1.3;-26.2;0.7;74;-31;0.5;88;0;-17.7;-23
20400127;-11.1;-21.9;0.1;2.2;1.9;-17.6;1.5;83;-29.4;0.5;91;0;-11.1;-21.9
20400128;-11.6;-22.8;0.1;2.3;1.9;-19;1.4;77;-30.6;0.5;89;0;-11.6;-22.8
20400129;-2.7;-11.9;1.7;1;3.2;-8.5;3.2;81;-18.1;1.5;91;0;-2.7;-11.9
20400130;-9.5;-22.6;0;2.7;1.9;-16.5;1.7;78;-29.8;0.5;94;0;-9.5;-22.6
20400131;-15.5;-26.8;0;2.5;0.6;-22.4;1;83;-35.3;0.3;88;0;-15.5;-26.8
20400201;-16;-28.4;0;1.8;1.3;-23.6;0.9;78;-37.1;0.2;88;0;-16;-28.4
20400202;-8.9;-24.2;0.4;2.6;1.9;-15.3;1.9;81;-32.1;0.4;90;0;-8.9;-24.2
20400203;-1.1;-11.1;0.7;1.9;2.6;-5.6;4;87;-16.6;1.7;95;0;-1.1;-11.1
20400204;-2.4;-8.2;0.1;1.9;1.3;-6.9;3.6;88;-13.5;2.2;94;0;-2.4;-8.2
20400205;-5.5;-11.8;0.1;3;0.6;-10.6;2.7;87;-17.6;1.5;94;0;-5.5;-11.8
20400206;-4.2;-11.9;0.4;2.5;1.9;-9.6;3;84;-17.5;1.5;95;0;-4.2;-11.9
20400207;-10.3;-13.4;0.9;1.9;1.9;-16.4;1.7;84;-19.9;1.3;90;0;-10.3;-13.4
20400208;-11.8;-18.6;0.1;3;1.9;-18.2;1.5;83;-25.9;0.7;89;0;-11.8;-18.6
20400209;-16.4;-22.5;0;3.2;1.3;-23.4;0.9;83;-30.4;0.5;88;0;-16.4;-22.5
20400210;-15.7;-25.3;0;3.5;1.3;-23;1;80;-33.6;0.4;88;0;-15.7;-25.3
20400211;-11.5;-24.7;0;3.7;1.3;-19.2;1.3;74;-32.7;0.4;90;0;-11.5;-24.7
20400212;-10.4;-22.5;0.1;3.8;0.6;-17.2;1.6;79;-30.4;0.5;88;0;-10.4;-22.5
20400213;-3;-19.8;1.5;1.7;2.6;-7.8;3.4;87;-26.5;0.7;95;0;-3;-19.8
20400214;1.7;-2.4;0.6;0.9;3.2;-2;5.3;89;-6.5;3.8;97;0;1.7;-2.4
20400215;3.1;1.8;1.7;1.3;3.8;0.6;6.4;96;-1.4;5.5;99;0;3.1;1.8
20400216;3;-1;0.1;0.8;3.2;-1.2;5.6;85;-5;4.2;96;0;3;-1
20400217;-1.2;-7.5;0;4.9;1.9;-8.1;3.3;72;-12.6;2.3;94;0;-1.2;-7.5
20400218;-0.5;-16.4;0;2.5;2.6;-5.1;4.2;85;-22.3;1;97;0;-0.5;-16.4
20400219;0.4;-1.6;0.6;1.7;3.2;-3.4;4.8;90;-5.9;3.9;94;0;0.4;-1.6
20400220;1;-0.1;0;2.5;1.9;-2.5;5.1;91;-3.7;4.6;97;0;1;-0.1
20400221;-0.5;-3.5;0.1;3.1;0.6;-3.8;4.6;94;-7.7;3.4;96;0;-0.5;-3.5
20400222;-1;-3.9;0;2.2;1.9;-4.4;4.4;94;-8.1;3.3;97;0;-1;-3.9
20400223;-1;-2.1;0;2.5;2.6;-4.4;4.4;94;-6;3.9;97;0;-1;-2.1
20400224;0.3;-5;0;5.5;0.6;-3.3;4.8;91;-9.2;3;98;0;0.3;-5
20400225;-3.1;-8.5;0;4;1.3;-7.2;3.6;91;-13.6;2.1;95;0;-3.1;-8.5
20400226;-1.7;-4.7;0.1;2.2;1.9;-5.3;4.1;93;-9.1;3.1;96;0;-1.7;-4.7
20400227;-0.6;-2.8;0.1;2.7;1.9;-3.9;4.6;94;-6.7;3.7;97;0;-0.6;-2.8
20400228;-0.1;-4;1.1;1.7;4.5;-4.2;4.5;88;-8.2;3.3;96;0;-0.1;-4
20400229;3.3;-0.7;0.1;3.1;2.6;-2.2;5.2;77;-4.2;4.5;98;0;3.3;-0.7
20400301;3.4;-1;0.1;5.7;2.6;-3;4.9;72;-4.9;4.2;95;0;3.4;-1
20400302;-1.2;-10.6;1.8;3.2;2.6;-6.3;3.8;82;-15.8;1.8;95;0;-1.2;-10.6
20400303;-2.6;-8.7;0.1;6.4;2.6;-10.2;2.8;68;-14.3;2;90;0;-2.6;-8.7
20400304;-4.6;-11.3;0.1;6.4;2.6;-11.5;2.5;73;-17.4;1.6;89;0;-4.6;-11.3
20400305;-4.4;-11.9;1.1;5.6;1.3;-12.8;2.3;65;-18.1;1.5;89;0;-4.4;-11.9
20400306;3;-5;0;2.4;3.2;-1.4;5.5;83;-9.1;3.1;98;0;3;-5
20400307;4.3;-3.5;0;8.6;3.2;-10.6;2.7;37;-10.1;2.8;79;0;4.3;-3.5
20400308;2.5;-6.7;0;6.8;3.2;-6.3;3.8;60;-13.9;2.1;77;0;2.5;-6.7
20400309;-0.6;-6.6;0;8.7;3.2;-10.1;2.8;58;-13;2.2;82;0;-0.6;-6.6
20400310;-1.4;-12.2;0;8.3;2.6;-12.5;2.3;51;-17.5;1.5;95;0;-1.4;-12.2
20400311;-0.5;-11.2;0;7.4;3.8;-9.1;3.1;62;-16.9;1.6;91;0;-0.5;-11.2
20400312;-0.7;-7.8;0.1;5.8;2.6;-8.1;3.3;68;-13.9;2.1;85;0;-0.7;-7.8
20400313;0.5;-5.8;0;8;2.6;-8.2;3.3;61;-12.1;2.4;82;0;0.5;-5.8
20400314;5.1;-11.7;0;10.2;1.9;-10.1;2.8;36;-18.3;1.4;85;0;5.1;-11.7
20400315;5;-15.8;0;11.1;0.6;-12.5;2.3;30;-21.8;1.1;94;0;5;-15.8
20400316;5.7;-15.8;0.2;11.3;0.6;-12.6;2.3;28;-21.8;1.1;94;0;5.7;-15.8
20400317;-1.1;-10.5;0;10.3;2.6;-10.9;2.7;56;-15.8;1.8;93;0;-1.1;-10.5
20400318;-2.8;-14.1;0;10.7;1.9;-13.9;2.1;51;-20.2;1.2;90;0;-2.8;-14.1
20400319;-1.3;-18.8;0;10;0.6;-13.3;2.2;47;-25.1;0.8;94;0;-1.3;-18.8
20400320;-1.9;-20.3;0;11.9;1.3;-14.7;1.9;44;-26.9;0.7;93;0;-1.9;-20.3
20400321;-2.6;-19.1;0;12;1.3;-16.3;1.7;41;-25.2;0.8;95;0;-2.6;-19.1
20400322;-1.8;-16.2;0;11.8;0.6;-15.2;1.9;42;-22.1;1;93;0;-1.8;-16.2
20400323;-1.3;-19.2;0;12.6;1.3;-13.8;2.1;45;-25.4;0.8;94;0;-1.3;-19.2
20400324;0.3;-18;0;12.9;1.9;-14.2;2;38;-23.9;0.9;95;0;0.3;-18
20400325;2.8;-15.2;0;13.2;1.9;-13;2.2;34;-20.7;1.2;94;0;2.8;-15.2
20400326;2.5;-12.6;0.4;12.9;2.6;-10.6;2.7;42;-18;1.5;92;0;2.5;-12.6
20400327;0.8;-2.2;0.6;6.5;1.9;-3.8;4.6;82;-5.8;4;95;0;0.8;-2.2
20400328;4.1;-3.1;0.2;8.5;1.9;-2.3;5.2;70;-6.9;3.7;95;0;4.1;-3.1
20400329;9.5;-0.6;0;11.9;3.8;-3.1;4.9;43;-4.2;4.5;93;0;9.5;-0.6
20400330;5.5;1.6;1.8;2.7;3.2;-0.2;6;73;-1;5.7;98;0;5.5;1.6
20400331;3.6;2.7;1.7;3;1.9;1.3;6.7;95;0.5;6.4;100;0;3.6;2.7
20400401;4.5;2.4;0.1;5.2;1.3;-0.5;5.9;77;-0.1;6.1;98;0;4.5;2.4
20400402;5.6;1.5;0;7.7;1.3;-3.9;4.6;55;-1.1;5.6;98;0;5.6;1.5
20400403;6.3;1.8;0;9.1;1.3;-5.5;4.1;46;-1;5.7;95;0;6.3;1.8
20400404;7.2;1.4;0;10.1;1.3;-4.2;4.5;47;-2.1;5.2;91;0;7.2;1.4
20400405;9.4;0.7;0.3;14.1;1.3;-0.8;5.8;51;-2.3;5.2;95;0;9.4;0.7
20400406;12.7;2.7;0;13;2.6;5.5;9;62;0.1;6.2;96;0;12.7;2.7
20400407;10.6;1.8;0;15.3;1.9;-0.3;6;48;-1.8;5.3;89;0;10.6;1.8
20400408;5.4;2.5;0;4.4;3.8;0.7;6.4;78;0;6.1;96;0;5.4;2.5
20400409;4;0.9;0;4.1;1.3;-0.1;6.1;82;-1.8;5.3;96;0;4;0.9
20400410;6.8;0.7;0.1;10.3;1.3;-7;3.6;39;-2.5;5.1;93;0;6.8;0.7
20400411;8.8;-0.6;0.3;13.2;2.6;-5;4.2;39;-3.4;4.7;96;0;8.8;-0.6
20400412;9.6;1.8;0;12.5;1.3;1.7;6.9;60;-0.7;5.8;96;0;9.6;1.8
20400413;12.3;1.8;0;15.1;1.3;4.2;8.3;58;-1.1;5.6;93;0;12.3;1.8
20400414;14;0.3;0;14.3;1.3;3.6;7.9;49;-2.1;5.2;98;0;14;0.3
20400415;13.3;0;0.5;9.6;1.3;2.6;7.4;48;-2.8;5;95;0;13.3;0
20400416;15;1.2;0;17.3;1.3;3.8;8;46;-1.2;5.6;96;0;15;1.2
20400417;11.6;1.7;0;14.7;2.6;3;7.6;56;-0.8;5.8;95;0;11.6;1.7
20400418;8.7;1.7;2.4;8.9;2.6;2.2;7.1;66;-0.7;5.8;96;0;8.7;1.7
20400419;6.9;1.5;3.4;10.3;3.2;1;6.6;70;-0.6;5.8;98;0;6.9;1.5
20400420;3.7;1.9;2.2;4.4;3.8;1.2;6.7;91;-0.5;5.9;95;0;3.7;1.9
20400421;8.9;1.5;0;12.7;1.9;-0.5;5.9;53;-1.2;5.6;93;0;8.9;1.5
20400422;11.6;0;0;14.9;1.9;-0.6;5.9;43;-2.6;5;95;0;11.6;0
20400423;14.1;-2;0;17.1;1.9;0.3;6.2;38;-4.8;4.3;96;0;14.1;-2
20400424;15;3.3;1.5;9.5;1.9;8.7;11.2;64;0.1;6.1;88;0;15;3.3
20400425;17.8;7.5;0.1;14.8;2.6;11.7;13.8;64;5.9;9.5;96;0;17.8;7.5
20400426;22;4.7;2.3;19.4;2.6;6.7;9.8;34;3.1;7.6;97;0;22;4.7
20400427;17.9;10.3;0;11.1;2.6;6;9.4;43;8.7;11.8;96;0;17.9;10.3
20400428;14.2;4.5;0.7;6.2;2.6;10.7;12.8;77;2.9;7.5;97;0;14.2;4.5
20400429;21.2;7.4;0.2;19.5;2.6;10.5;12.7;46;5.4;9;92;0;21.2;7.4
20400430;17.4;6.3;0.1;13.4;3.2;10.9;13.1;62;4.8;8.9;99;0;17.4;6.3
20400501;11.4;5.4;0;13.2;3.8;3.2;7.7;57;1.1;6.6;79;0;11.4;5.4
20400502;9.2;-0.4;0;25.2;3.2;-8.6;3.2;28;-5.5;4.1;78;0;9.2;-0.4
20400503;10.9;-4.1;0;25.5;2.6;-6.9;3.6;28;-7.8;3.4;90;0;10.9;-4.1
20400504;14.8;-3.1;0;25.8;3.2;-6.1;3.9;22;-7.2;3.5;86;0;14.8;-3.1
