#Jokioinen	Jokioisten	observatorio/Finland	(ID	1201/WMO	02963)	lat=60.81	lon=23.5	alt=104
w_date	tmax	tmin	rain	srad	wind	dewp_tx	vprsid_tx	rhumd_tx	dewp_tn	vprsd_tn	rhum_tn
19800101	1.70	-0.50	2.04	0.36	1.30	-3.80	4.60	92.00	-5.70	4.00	96.00
19800102	-0.10	-2.30	2.40	0.57	3.20	-6.50	3.80	87.00	-7.60	3.40	97.00
19800103	-1.10	-2.80	2.76	0.51	3.80	-7.80	3.40	86.00	-9.10	3.10	90.00
19800104	-1.50	-4.40	0.00	0.47	0.60	-7.50	3.50	91.00	-10.30	2.80	95.00
19800105	-3.40	-10.00	0.24	0.65	1.30	-10.20	2.80	87.00	-16.90	1.60	93.00
19800106	0.90	-7.60	0.72	0.51	2.60	-4.80	4.30	91.00	-13.70	2.10	97.00
19800107	1.80	-0.30	3.24	0.51	1.90	-3.60	4.70	92.00	-5.20	4.20	98.00
19800108	1.20	-2.30	0.48	0.62	1.90	-4.90	4.20	88.00	-7.90	3.40	95.00
19800109	-1.10	-2.40	0.96	0.36	1.30	-6.90	3.60	92.00	-8.30	3.30	93.00
19800110	-1.10	-11.60	0.12	1.00	1.30	-7.90	3.40	85.00	-18.80	1.40	92.00
19800111	0.90	-7.00	0.12	0.57	1.30	-6.00	3.90	83.00	-13.10	2.20	96.00
19800112	0.80	-1.90	0.00	0.44	1.90	-6.10	3.90	83.00	-7.70	3.40	93.00
19800113	2.50	-1.70	0.00	0.78	2.60	-3.30	4.80	89.00	-6.90	3.60	97.00
19800114	5.00	2.40	0.00	0.58	3.20	-1.60	5.40	82.00	-3.00	4.90	92.00
19800115	4.70	-3.40	0.12	0.84	2.60	-2.30	5.20	80.00	-9.30	3.00	94.00
19800116	-3.10	-12.70	0.72	1.68	1.90	-12.30	2.40	72.00	-19.80	1.30	94.00
19800117	2.00	-16.70	0.00	0.68	2.60	-4.50	4.40	85.00	-24.30	0.90	95.00
19800118	4.10	-0.10	0.00	1.65	2.60	-3.40	4.70	77.00	-5.50	4.10	94.00
19800119	0.30	-11.70	0.00	2.09	0.60	-6.20	3.80	86.00	-18.50	1.40	96.00
19800120	0.00	-12.50	0.00	1.46	1.30	-6.10	3.90	89.00	-19.20	1.30	97.00
19800121	0.00	-4.50	0.12	1.15	1.90	-6.60	3.70	86.00	-10.60	2.70	93.00
19800122	-2.40	-5.30	0.36	0.77	1.90	-8.70	3.20	90.00	-11.60	2.50	93.00
19800123	-2.30	-5.10	0.72	0.62	2.60	-9.30	3.00	85.00	-11.30	2.60	93.00
19800124	-4.80	-13.60	1.20	1.56	3.80	-13.00	2.20	79.00	-22.10	1.00	84.00
19800125	-12.80	-16.70	0.24	1.64	3.20	-22.70	1.00	74.00	-25.90	0.70	82.00
19800126	-16.00	-21.90	0.60	2.45	1.30	-26.20	0.70	74.00	-31.00	0.50	88.00
19800127	-9.40	-20.80	0.12	2.72	1.90	-17.60	1.50	83.00	-29.40	0.50	91.00
19800128	-9.90	-21.70	0.12	2.87	1.90	-19.00	1.40	77.00	-30.60	0.50	89.00
19800129	-1.00	-10.80	1.68	1.21	3.20	-8.50	3.20	81.00	-18.10	1.50	91.00
19800130	-7.80	-21.50	0.00	3.36	1.90	-16.50	1.70	78.00	-29.80	0.50	94.00
19800131	-13.70	-25.70	0.00	3.07	0.60	-22.40	1.00	83.00	-35.30	0.30	88.00
19800201	-14.20	-27.30	0.00	2.22	1.30	-23.60	0.90	78.00	-37.10	0.20	88.00
19800202	-7.10	-23.10	0.36	3.15	1.90	-15.30	1.90	81.00	-32.10	0.40	90.00
19800203	0.70	-10.00	0.72	2.34	2.60	-5.60	4.00	87.00	-16.60	1.70	95.00
19800204	-0.60	-7.10	0.12	2.33	1.30	-6.90	3.60	88.00	-13.50	2.20	94.00
19800205	-3.70	-10.70	0.12	3.68	0.60	-10.60	2.70	87.00	-17.60	1.50	94.00
19800206	-2.40	-10.80	0.36	3.10	1.90	-9.60	3.00	84.00	-17.50	1.50	95.00
