#Jokioinen	Jokioisten	observatorio/Finland	(ID	1201/WMO	02963)	lat=60.81	lon=23.5	alt=104
w_date	tmax	tmin	rain	srad	wind	dewp_tx	vprsid_tx	rhumd_tx	dewp_tn	vprsd_tn	rhum_tn
19800101	-0.30	-2.50	1.87	0.36	1.30	-3.80	4.60	92.00	-5.70	4.00	96.00
19800102	-2.10	-4.30	2.20	0.57	3.20	-6.50	3.80	87.00	-7.60	3.40	97.00
19800103	-3.10	-4.80	2.53	0.51	3.80	-7.80	3.40	86.00	-9.10	3.10	90.00
19800104	-3.50	-6.40	0.00	0.47	0.60	-7.50	3.50	91.00	-10.30	2.80	95.00
19800105	-5.40	-12.00	0.22	0.65	1.30	-10.20	2.80	87.00	-16.90	1.60	93.00
19800106	-1.10	-9.60	0.66	0.51	2.60	-4.80	4.30	91.00	-13.70	2.10	97.00
19800107	-0.20	-2.30	2.97	0.51	1.90	-3.60	4.70	92.00	-5.20	4.20	98.00
19800108	-0.80	-4.30	0.44	0.62	1.90	-4.90	4.20	88.00	-7.90	3.40	95.00
19800109	-3.10	-4.40	0.88	0.36	1.30	-6.90	3.60	92.00	-8.30	3.30	93.00
19800110	-3.10	-13.60	0.11	1.00	1.30	-7.90	3.40	85.00	-18.80	1.40	92.00
19800111	-1.10	-9.00	0.11	0.57	1.30	-6.00	3.90	83.00	-13.10	2.20	96.00
19800112	-1.20	-3.90	0.00	0.44	1.90	-6.10	3.90	83.00	-7.70	3.40	93.00
19800113	0.50	-3.70	0.00	0.78	2.60	-3.30	4.80	89.00	-6.90	3.60	97.00
19800114	3.00	0.40	0.00	0.58	3.20	-1.60	5.40	82.00	-3.00	4.90	92.00
19800115	2.70	-5.40	0.11	0.84	2.60	-2.30	5.20	80.00	-9.30	3.00	94.00
19800116	-5.10	-14.70	0.66	1.68	1.90	-12.30	2.40	72.00	-19.80	1.30	94.00
19800117	0.00	-18.70	0.00	0.68	2.60	-4.50	4.40	85.00	-24.30	0.90	95.00
19800118	2.10	-2.10	0.00	1.65	2.60	-3.40	4.70	77.00	-5.50	4.10	94.00
19800119	-1.70	-13.70	0.00	2.09	0.60	-6.20	3.80	86.00	-18.50	1.40	96.00
19800120	-2.00	-14.50	0.00	1.46	1.30	-6.10	3.90	89.00	-19.20	1.30	97.00
19800121	-2.00	-6.50	0.11	1.15	1.90	-6.60	3.70	86.00	-10.60	2.70	93.00
19800122	-4.40	-7.30	0.33	0.77	1.90	-8.70	3.20	90.00	-11.60	2.50	93.00
19800123	-4.30	-7.10	0.66	0.62	2.60	-9.30	3.00	85.00	-11.30	2.60	93.00
19800124	-6.80	-15.60	1.10	1.56	3.80	-13.00	2.20	79.00	-22.10	1.00	84.00
19800125	-14.80	-18.70	0.22	1.64	3.20	-22.70	1.00	74.00	-25.90	0.70	82.00
19800126	-18.00	-23.90	0.55	2.45	1.30	-26.20	0.70	74.00	-31.00	0.50	88.00
19800127	-11.40	-22.80	0.11	2.72	1.90	-17.60	1.50	83.00	-29.40	0.50	91.00
19800128	-11.90	-23.70	0.11	2.87	1.90	-19.00	1.40	77.00	-30.60	0.50	89.00
19800129	-3.00	-12.80	1.54	1.21	3.20	-8.50	3.20	81.00	-18.10	1.50	91.00
