#Jokioinen	Jokioisten	observatorio/Finland	(ID	1201/WMO	02963)	lat=60.81	lon=23.5	alt=104
w_date	tmax	tmin	rain	srad	wind	dewp_tx	vprsid_tx	rhumd_tx	dewp_tn	vprsd_tn	rhum_tn
19800101	-2.30	-4.50	1.70	0.31	1.30	-3.80	4.60	92.00	-5.70	4.00	96.00
19800102	-4.10	-6.30	2.00	0.49	3.20	-6.50	3.80	87.00	-7.60	3.40	97.00
19800103	-5.10	-6.80	2.30	0.44	3.80	-7.80	3.40	86.00	-9.10	3.10	90.00
19800104	-5.50	-8.40	0.00	0.41	0.60	-7.50	3.50	91.00	-10.30	2.80	95.00
19800105	-7.40	-14.00	0.20	0.56	1.30	-10.20	2.80	87.00	-16.90	1.60	93.00
19800106	-3.10	-11.60	0.60	0.44	2.60	-4.80	4.30	91.00	-13.70	2.10	97.00
19800107	-2.20	-4.30	2.70	0.44	1.90	-3.60	4.70	92.00	-5.20	4.20	98.00
19800108	-2.80	-6.30	0.40	0.53	1.90	-4.90	4.20	88.00	-7.90	3.40	95.00
19800109	-5.10	-6.40	0.80	0.31	1.30	-6.90	3.60	92.00	-8.30	3.30	93.00
19800110	-5.10	-15.60	0.10	0.86	1.30	-7.90	3.40	85.00	-18.80	1.40	92.00
19800111	-3.10	-11.00	0.10	0.49	1.30	-6.00	3.90	83.00	-13.10	2.20	96.00
19800112	-3.20	-5.90	0.00	0.38	1.90	-6.10	3.90	83.00	-7.70	3.40	93.00
19800113	-1.50	-5.70	0.00	0.67	2.60	-3.30	4.80	89.00	-6.90	3.60	97.00
19800114	1.00	-1.60	0.00	0.50	3.20	-1.60	5.40	82.00	-3.00	4.90	92.00
19800115	0.70	-7.40	0.10	0.72	2.60	-2.30	5.20	80.00	-9.30	3.00	94.00
19800116	-7.10	-16.70	0.60	1.45	1.90	-12.30	2.40	72.00	-19.80	1.30	94.00
19800117	-2.00	-20.70	0.00	0.59	2.60	-4.50	4.40	85.00	-24.30	0.90	95.00
19800118	0.10	-4.10	0.00	1.42	2.60	-3.40	4.70	77.00	-5.50	4.10	94.00
19800119	-3.70	-15.70	0.00	1.80	0.60	-6.20	3.80	86.00	-18.50	1.40	96.00
19800120	-4.00	-16.50	0.00	1.26	1.30	-6.10	3.90	89.00	-19.20	1.30	97.00
19800121	-4.00	-8.50	0.10	1.00	1.90	-6.60	3.70	86.00	-10.60	2.70	93.00
19800122	-6.40	-9.30	0.30	0.66	1.90	-8.70	3.20	90.00	-11.60	2.50	93.00
19800123	-6.30	-9.10	0.60	0.53	2.60	-9.30	3.00	85.00	-11.30	2.60	93.00
19800124	-8.80	-17.60	1.00	1.35	3.80	-13.00	2.20	79.00	-22.10	1.00	84.00
19800125	-16.80	-20.70	0.20	1.42	3.20	-22.70	1.00	74.00	-25.90	0.70	82.00
19800126	-20.00	-25.90	0.50	2.12	1.30	-26.20	0.70	74.00	-31.00	0.50	88.00
19800127	-13.40	-24.80	0.10	2.35	1.90	-17.60	1.50	83.00	-29.40	0.50	91.00
19800128	-13.90	-25.70	0.10	2.48	1.90	-19.00	1.40	77.00	-30.60	0.50	89.00
19800129	-5.00	-14.80	1.40	1.05	3.20	-8.50	3.20	81.00	-18.10	1.50	91.00
19800130	-11.80	-25.50	0.00	2.90	1.90	-16.50	1.70	78.00	-29.80	0.50	94.00
19800131	-17.70	-29.70	0.00	2.65	0.60	-22.40	1.00	83.00	-35.30	0.30	88.00
19800201	-18.20	-31.30	0.00	1.92	1.30	-23.60	0.90	78.00	-37.10	0.20	88.00
19800202	-11.10	-27.10	0.30	2.72	1.90	-15.30	1.90	81.00	-32.10	0.40	90.00
19800203	-3.30	-14.00	0.60	2.02	2.60	-5.60	4.00	87.00	-16.60	1.70	95.00
19800204	-4.60	-11.10	0.10	2.01	1.30	-6.90	3.60	88.00	-13.50	2.20	94.00
19800205	-7.70	-14.70	0.10	3.18	0.60	-10.60	2.70	87.00	-17.60	1.50	94.00
19800206	-6.40	-14.80	0.30	2.68	1.90	-9.60	3.00	84.00	-17.50	1.50	95.00
19800207	-12.50	-16.30	0.80	2.03	1.90	-16.40	1.70	84.00	-19.90	1.30	90.00
19800208	-14.00	-21.50	0.10	3.15	1.90	-18.20	1.50	83.00	-25.90	0.70	89.00
19800209	-18.60	-25.40	0.00	3.43	1.30	-23.40	0.90	83.00	-30.40	0.50	88.00
19800210	-17.90	-28.20	0.00	3.67	1.30	-23.00	1.00	80.00	-33.60	0.40	88.00
19800211	-13.70	-27.60	0.00	3.89	1.30	-19.20	1.30	74.00	-32.70	0.40	90.00
19800212	-12.60	-25.40	0.10	4.00	0.60	-17.20	1.60	79.00	-30.40	0.50	88.00
19800213	-5.20	-22.70	1.30	1.81	2.60	-7.80	3.40	87.00	-26.50	0.70	95.00
19800214	-0.40	-5.30	0.50	0.92	3.20	-2.00	5.30	89.00	-6.50	3.80	97.00
19800215	1.00	-1.10	1.50	1.37	3.80	0.60	6.40	96.00	-1.40	5.50	99.00
19800216	0.90	-3.90	0.10	0.88	3.20	-1.20	5.60	85.00	-5.00	4.20	96.00
19800217	-3.30	-10.30	0.00	5.13	1.90	-8.10	3.30	72.00	-12.60	2.30	94.00
19800218	-2.60	-19.20	0.00	2.66	2.60	-5.10	4.20	85.00	-22.30	1.00	97.00
19800219	-1.70	-4.40	0.50	1.78	3.20	-3.40	4.80	90.00	-5.90	3.90	94.00
19800220	-1.10	-2.90	0.00	2.63	1.90	-2.50	5.10	91.00	-3.70	4.60	97.00
19800221	-2.60	-6.30	0.10	3.27	0.60	-3.80	4.60	94.00	-7.70	3.40	96.00
19800222	-3.10	-6.70	0.00	2.35	1.90	-4.40	4.40	94.00	-8.10	3.30	97.00
19800223	-3.10	-4.90	0.00	2.59	2.60	-4.40	4.40	94.00	-6.00	3.90	97.00
19800224	-1.80	-7.80	0.00	5.80	0.60	-3.30	4.80	91.00	-9.20	3.00	98.00
19800225	-5.20	-11.30	0.00	4.15	1.30	-7.20	3.60	91.00	-13.60	2.10	95.00
19800226	-3.80	-7.50	0.10	2.34	1.90	-5.30	4.10	93.00	-9.10	3.10	96.00
19800227	-2.70	-5.50	0.10	2.82	1.90	-3.90	4.60	94.00	-6.70	3.70	97.00
19800228	-2.20	-6.70	1.00	1.82	4.50	-4.20	4.50	88.00	-8.20	3.30	96.00
19800229	1.20	-3.40	0.10	3.20	2.60	-2.20	5.20	77.00	-4.20	4.50	98.00
19800301	1.30	-3.70	0.10	5.95	2.60	-3.00	4.90	72.00	-4.90	4.20	95.00
19800302	-3.20	-13.30	1.60	3.32	2.60	-6.30	3.80	82.00	-15.80	1.80	95.00
19800303	-4.60	-11.40	0.10	6.62	2.60	-10.20	2.80	68.00	-14.30	2.00	90.00
19800304	-6.60	-14.00	0.10	6.66	2.60	-11.50	2.50	73.00	-17.40	1.60	89.00
19800305	-6.40	-14.60	1.00	5.80	1.30	-12.80	2.30	65.00	-18.10	1.50	89.00
19800306	1.00	-7.70	0.00	2.54	3.20	-1.40	5.50	83.00	-9.10	3.10	98.00
19800307	2.30	-6.20	0.00	8.94	3.20	-10.60	2.70	37.00	-10.10	2.80	79.00
19800308	0.50	-9.30	0.00	7.05	3.20	-6.30	3.80	60.00	-13.90	2.10	77.00
19800309	-2.60	-9.20	0.00	9.02	3.20	-10.10	2.80	58.00	-13.00	2.20	82.00
19800310	-3.40	-14.80	0.00	8.59	2.60	-12.50	2.30	51.00	-17.50	1.50	95.00
19800311	-2.50	-13.80	0.00	7.63	3.80	-9.10	3.10	62.00	-16.90	1.60	91.00
19800312	-2.70	-10.40	0.10	6.05	2.60	-8.10	3.30	68.00	-13.90	2.10	85.00
19800313	-1.50	-8.40	0.00	8.30	2.60	-8.20	3.30	61.00	-12.10	2.40	82.00
19800314	3.10	-14.30	0.00	10.58	1.90	-10.10	2.80	36.00	-18.30	1.40	85.00
19800315	3.00	-18.40	0.00	11.45	0.60	-12.50	2.30	30.00	-21.80	1.10	94.00
19800316	3.70	-18.40	0.20	11.69	0.60	-12.60	2.30	28.00	-21.80	1.10	94.00
19800317	-3.00	-13.00	0.00	10.64	2.60	-10.90	2.70	56.00	-15.80	1.80	93.00
19800318	-4.70	-16.60	0.00	10.98	1.90	-13.90	2.10	51.00	-20.20	1.20	90.00
19800319	-3.20	-21.30	0.00	10.21	0.60	-13.30	2.20	47.00	-25.10	0.80	94.00
19800320	-3.80	-22.80	0.00	12.20	1.30	-14.70	1.90	44.00	-26.90	0.70	93.00
19800321	-4.50	-21.50	0.00	12.23	1.30	-16.30	1.70	41.00	-25.20	0.80	95.00
19800322	-3.70	-18.60	0.00	11.96	0.60	-15.20	1.90	42.00	-22.10	1.00	93.00
19800323	-3.20	-21.60	0.00	12.81	1.30	-13.80	2.10	45.00	-25.40	0.80	94.00
19800324	-1.60	-20.40	0.00	13.01	1.90	-14.20	2.00	38.00	-23.90	0.90	95.00
19800325	0.90	-17.50	0.00	13.29	1.90	-13.00	2.20	34.00	-20.70	1.20	94.00
19800326	0.70	-14.90	0.40	13.00	2.60	-10.60	2.70	42.00	-18.00	1.50	92.00
19800327	-1.00	-4.50	0.60	6.56	1.90	-3.80	4.60	82.00	-5.80	4.00	95.00
19800328	2.30	-5.40	0.20	8.47	1.90	-2.30	5.20	70.00	-6.90	3.70	95.00
19800329	7.70	-2.80	0.00	11.87	3.80	-3.10	4.90	43.00	-4.20	4.50	93.00
19800330	3.70	-0.60	1.80	2.65	3.20	-0.20	6.00	73.00	-1.00	5.70	98.00
19800331	1.80	0.50	1.70	2.95	1.90	1.30	6.70	95.00	0.50	6.40	100.00
19800401	2.70	0.20	0.10	5.16	1.30	-0.50	5.90	77.00	-0.10	6.10	98.00
19800402	3.80	-0.70	0.00	7.67	1.30	-3.90	4.60	55.00	-1.10	5.60	98.00
19800403	4.50	-0.30	0.00	9.02	1.30	-5.50	4.10	46.00	-1.00	5.70	95.00
19800404	5.50	-0.70	0.00	9.92	1.30	-4.20	4.50	47.00	-2.10	5.20	91.00
19800405	7.70	-1.40	0.30	13.86	1.30	-0.80	5.80	51.00	-2.30	5.20	95.00
19800406	11.00	0.60	0.00	12.78	2.60	5.50	9.00	62.00	0.10	6.20	96.00
