#Jokioinen Jokioisten observatorio/Finland (ID 1201/WMO 02963) lat=60.81 lon=23.5 alt=104											
w_date	tmax	tmin	rain	srad	wind	dewp_tx	vprsid_tx	rhumd_tx	dewp_tn	vprsd_tn	rhum_tn
19800101	-2.3	-4.5	1.7	0.33	1.3	-3.8	4.6	92	-5.7	4	96
19800102	-4.1	-6.3	2	0.52	3.2	-6.5	3.8	87	-7.6	3.4	97
19800103	-5.1	-6.8	2.3	0.46	3.8	-7.8	3.4	86	-9.1	3.1	90
19800104	-5.5	-8.4	0	0.43	0.6	-7.5	3.5	91	-10.3	2.8	95
19800105	-7.4	-14	0.2	0.59	1.3	-10.2	2.8	87	-16.9	1.6	93
19800106	-3.1	-11.6	0.6	0.46	2.6	-4.8	4.3	91	-13.7	2.1	97
19800107	-2.2	-4.3	2.7	0.46	1.9	-3.6	4.7	92	-5.2	4.2	98
19800108	-2.8	-6.3	0.4	0.56	1.9	-4.9	4.2	88	-7.9	3.4	95
19800109	-5.1	-6.4	0.8	0.33	1.3	-6.9	3.6	92	-8.3	3.3	93
19800110	-5.1	-15.6	0.1	0.91	1.3	-7.9	3.4	85	-18.8	1.4	92
19800111	-3.1	-11	0.1	0.52	1.3	-6	3.9	83	-13.1	2.2	96
19800112	-3.2	-5.9	0	0.4	1.9	-6.1	3.9	83	-7.7	3.4	93
19800113	-1.5	-5.7	0	0.71	2.6	-3.3	4.8	89	-6.9	3.6	97
19800114	1	-1.6	0	0.53	3.2	-1.6	5.4	82	-3	4.9	92
19800115	0.7	-7.4	0.1	0.76	2.6	-2.3	5.2	80	-9.3	3	94
19800116	-7.1	-16.7	0.6	1.53	1.9	-12.3	2.4	72	-19.8	1.3	94
19800117	-2	-20.7	0	0.62	2.6	-4.5	4.4	85	-24.3	0.9	95
19800118	0.1	-4.1	0	1.5	2.6	-3.4	4.7	77	-5.5	4.1	94
19800119	-3.7	-15.7	0	1.9	0.6	-6.2	3.8	86	-18.5	1.4	96
19800120	-4	-16.5	0	1.33	1.3	-6.1	3.9	89	-19.2	1.3	97
19800121	-4	-8.5	0.1	1.05	1.9	-6.6	3.7	86	-10.6	2.7	93
19800122	-6.4	-9.3	0.3	0.7	1.9	-8.7	3.2	90	-11.6	2.5	93
19800123	-6.3	-9.1	0.6	0.56	2.6	-9.3	3	85	-11.3	2.6	93
19800124	-8.8	-17.6	1	1.42	3.8	-13	2.2	79	-22.1	1	84
19800125	-16.8	-20.7	0.2	1.49	3.2	-22.7	1	74	-25.9	0.7	82
19800126	-20	-25.9	0.5	2.23	1.3	-26.2	0.7	74	-31	0.5	88
19800127	-13.4	-24.8	0.1	2.47	1.9	-17.6	1.5	83	-29.4	0.5	91
19800128	-13.9	-25.7	0.1	2.61	1.9	-19	1.4	77	-30.6	0.5	89
19800129	-5	-14.8	1.4	1.1	3.2	-8.5	3.2	81	-18.1	1.5	91
19800130	-11.8	-25.5	0	3.05	1.9	-16.5	1.7	78	-29.8	0.5	94
19800131	-17.7	-29.7	0	2.79	0.6	-22.4	1	83	-35.3	0.3	88
19800201	-18.2	-31.3	0	2.02	1.3	-23.6	0.9	78	-37.1	0.2	88
19800202	-11.1	-27.1	0.3	2.86	1.9	-15.3	1.9	81	-32.1	0.4	90
19800203	-3.3	-14	0.6	2.13	2.6	-5.6	4	87	-16.6	1.7	95
19800204	-4.6	-11.1	0.1	2.12	1.3	-6.9	3.6	88	-13.5	2.2	94
19800205	-7.7	-14.7	0.1	3.35	0.6	-10.6	2.7	87	-17.6	1.5	94
19800206	-6.4	-14.8	0.3	2.82	1.9	-9.6	3	84	-17.5	1.5	95
19800207	-12.5	-16.3	0.8	2.14	1.9	-16.4	1.7	84	-19.9	1.3	90
19800208	-14	-21.5	0.1	3.32	1.9	-18.2	1.5	83	-25.9	0.7	89
19800209	-18.6	-25.4	0	3.61	1.3	-23.4	0.9	83	-30.4	0.5	88
19800210	-17.9	-28.2	0	3.86	1.3	-23	1	80	-33.6	0.4	88
19800211	-13.7	-27.6	0	4.1	1.3	-19.2	1.3	74	-32.7	0.4	90
19800212	-12.6	-25.4	0.1	4.21	0.6	-17.2	1.6	79	-30.4	0.5	88
19800213	-5.2	-22.7	1.3	1.91	2.6	-7.8	3.4	87	-26.5	0.7	95
19800214	-0.4	-5.3	0.5	0.97	3.2	-2	5.3	89	-6.5	3.8	97
19800215	1	-1.1	1.5	1.44	3.8	0.6	6.4	96	-1.4	5.5	99
19800216	0.9	-3.9	0.1	0.93	3.2	-1.2	5.6	85	-5	4.2	96
19800217	-3.3	-10.3	0	5.4	1.9	-8.1	3.3	72	-12.6	2.3	94
19800218	-2.6	-19.2	0	2.8	2.6	-5.1	4.2	85	-22.3	1	97
19800219	-1.7	-4.4	0.5	1.87	3.2	-3.4	4.8	90	-5.9	3.9	94
19800220	-1.1	-2.9	0	2.77	1.9	-2.5	5.1	91	-3.7	4.6	97
19800221	-2.6	-6.3	0.1	3.44	0.6	-3.8	4.6	94	-7.7	3.4	96
19800222	-3.1	-6.7	0	2.47	1.9	-4.4	4.4	94	-8.1	3.3	97
19800223	-3.1	-4.9	0	2.73	2.6	-4.4	4.4	94	-6	3.9	97
19800224	-1.8	-7.8	0	6.1	0.6	-3.3	4.8	91	-9.2	3	98
19800225	-5.2	-11.3	0	4.37	1.3	-7.2	3.6	91	-13.6	2.1	95
19800226	-3.8	-7.5	0.1	2.46	1.9	-5.3	4.1	93	-9.1	3.1	96
19800227	-2.7	-5.5	0.1	2.97	1.9	-3.9	4.6	94	-6.7	3.7	97
19800228	-2.2	-6.7	1	1.92	4.5	-4.2	4.5	88	-8.2	3.3	96
19800229	1.2	-3.4	0.1	3.37	2.6	-2.2	5.2	77	-4.2	4.5	98
19800301	1.3	-3.7	0.1	6.26	2.6	-3	4.9	72	-4.9	4.2	95
19800302	-3.2	-13.3	1.6	3.49	2.6	-6.3	3.8	82	-15.8	1.8	95
19800303	-4.6	-11.4	0.1	6.97	2.6	-10.2	2.8	68	-14.3	2	90
19800304	-6.6	-14	0.1	7.01	2.6	-11.5	2.5	73	-17.4	1.6	89
19800305	-6.4	-14.6	1	6.11	1.3	-12.8	2.3	65	-18.1	1.5	89
19800306	1	-7.7	0	2.67	3.2	-1.4	5.5	83	-9.1	3.1	98
19800307	2.3	-6.2	0	9.41	3.2	-10.6	2.7	37	-10.1	2.8	79
19800308	0.5	-9.3	0	7.42	3.2	-6.3	3.8	60	-13.9	2.1	77
19800309	-2.6	-9.2	0	9.49	3.2	-10.1	2.8	58	-13	2.2	82
19800310	-3.4	-14.8	0	9.04	2.6	-12.5	2.3	51	-17.5	1.5	95
19800311	-2.5	-13.8	0	8.03	3.8	-9.1	3.1	62	-16.9	1.6	91
19800312	-2.7	-10.4	0.1	6.37	2.6	-8.1	3.3	68	-13.9	2.1	85
19800313	-1.5	-8.4	0	8.74	2.6	-8.2	3.3	61	-12.1	2.4	82
19800314	3.1	-14.3	0	11.14	1.9	-10.1	2.8	36	-18.3	1.4	85
19800315	3	-18.4	0	12.05	0.6	-12.5	2.3	30	-21.8	1.1	94
19800316	3.7	-18.4	0.2	12.3	0.6	-12.6	2.3	28	-21.8	1.1	94
19800317	-3	-13	0	11.2	2.6	-10.9	2.7	56	-15.8	1.8	93
