#Jokioinen	Jokioisten	observatorio/Finland	(ID	1201/WMO	02963)	lat=60.81	lon=23.5	alt=104
w_date	tmax	tmin	rain	srad	wind	dewp_tx	vprsid_tx	rhumd_tx	dewp_tn	vprsd_tn	rhum_tn
19800101	2.70	0.50	1.70	0.33	1.30	-3.80	4.60	92.00	-5.70	4.00	96.00
19800102	0.90	-1.30	2.00	0.52	3.20	-6.50	3.80	87.00	-7.60	3.40	97.00
19800103	-0.10	-1.80	2.30	0.46	3.80	-7.80	3.40	86.00	-9.10	3.10	90.00
19800104	-0.50	-3.40	0.00	0.43	0.60	-7.50	3.50	91.00	-10.30	2.80	95.00
19800105	-2.40	-9.00	0.20	0.59	1.30	-10.20	2.80	87.00	-16.90	1.60	93.00
19800106	1.90	-6.60	0.60	0.46	2.60	-4.80	4.30	91.00	-13.70	2.10	97.00
19800107	2.80	0.70	2.70	0.46	1.90	-3.60	4.70	92.00	-5.20	4.20	98.00
19800108	2.20	-1.30	0.40	0.56	1.90	-4.90	4.20	88.00	-7.90	3.40	95.00
19800109	-0.10	-1.40	0.80	0.33	1.30	-6.90	3.60	92.00	-8.30	3.30	93.00
19800110	-0.10	-10.60	0.10	0.91	1.30	-7.90	3.40	85.00	-18.80	1.40	92.00
19800111	1.90	-6.00	0.10	0.52	1.30	-6.00	3.90	83.00	-13.10	2.20	96.00
19800112	1.80	-0.90	0.00	0.40	1.90	-6.10	3.90	83.00	-7.70	3.40	93.00
19800113	3.50	-0.70	0.00	0.71	2.60	-3.30	4.80	89.00	-6.90	3.60	97.00
19800114	6.00	3.40	0.00	0.53	3.20	-1.60	5.40	82.00	-3.00	4.90	92.00
19800115	5.70	-2.40	0.10	0.76	2.60	-2.30	5.20	80.00	-9.30	3.00	94.00
19800116	-2.10	-11.70	0.60	1.53	1.90	-12.30	2.40	72.00	-19.80	1.30	94.00
19800117	3.00	-15.70	0.00	0.62	2.60	-4.50	4.40	85.00	-24.30	0.90	95.00
19800118	5.10	0.90	0.00	1.50	2.60	-3.40	4.70	77.00	-5.50	4.10	94.00
19800119	1.30	-10.70	0.00	1.90	0.60	-6.20	3.80	86.00	-18.50	1.40	96.00
19800120	1.00	-11.50	0.00	1.33	1.30	-6.10	3.90	89.00	-19.20	1.30	97.00
19800121	1.00	-3.50	0.10	1.05	1.90	-6.60	3.70	86.00	-10.60	2.70	93.00
19800122	-1.40	-4.30	0.30	0.70	1.90	-8.70	3.20	90.00	-11.60	2.50	93.00
19800123	-1.30	-4.10	0.60	0.56	2.60	-9.30	3.00	85.00	-11.30	2.60	93.00
19800124	-3.80	-12.60	1.00	1.42	3.80	-13.00	2.20	79.00	-22.10	1.00	84.00
19800125	-11.80	-15.70	0.20	1.49	3.20	-22.70	1.00	74.00	-25.90	0.70	82.00
19800126	-15.00	-20.90	0.50	2.23	1.30	-26.20	0.70	74.00	-31.00	0.50	88.00
19800127	-8.40	-19.80	0.10	2.47	1.90	-17.60	1.50	83.00	-29.40	0.50	91.00
19800128	-8.90	-20.70	0.10	2.61	1.90	-19.00	1.40	77.00	-30.60	0.50	89.00
19800129	0.00	-9.80	1.40	1.10	3.20	-8.50	3.20	81.00	-18.10	1.50	91.00
19800130	-6.80	-20.50	0.00	3.05	1.90	-16.50	1.70	78.00	-29.80	0.50	94.00
19800131	-12.70	-24.70	0.00	2.79	0.60	-22.40	1.00	83.00	-35.30	0.30	88.00
19800201	-13.20	-26.30	0.00	2.02	1.30	-23.60	0.90	78.00	-37.10	0.20	88.00
19800202	-6.10	-22.10	0.30	2.86	1.90	-15.30	1.90	81.00	-32.10	0.40	90.00
19800203	1.70	-9.00	0.60	2.13	2.60	-5.60	4.00	87.00	-16.60	1.70	95.00
19800204	0.40	-6.10	0.10	2.12	1.30	-6.90	3.60	88.00	-13.50	2.20	94.00
19800205	-2.70	-9.70	0.10	3.35	0.60	-10.60	2.70	87.00	-17.60	1.50	94.00
19800206	-1.40	-9.80	0.30	2.82	1.90	-9.60	3.00	84.00	-17.50	1.50	95.00
19800207	-7.50	-11.30	0.80	2.14	1.90	-16.40	1.70	84.00	-19.90	1.30	90.00
19800208	-9.00	-16.50	0.10	3.32	1.90	-18.20	1.50	83.00	-25.90	0.70	89.00
19800209	-13.60	-20.40	0.00	3.61	1.30	-23.40	0.90	83.00	-30.40	0.50	88.00
19800210	-12.90	-23.20	0.00	3.86	1.30	-23.00	1.00	80.00	-33.60	0.40	88.00
19800211	-8.70	-22.60	0.00	4.10	1.30	-19.20	1.30	74.00	-32.70	0.40	90.00
19800212	-7.60	-20.40	0.10	4.21	0.60	-17.20	1.60	79.00	-30.40	0.50	88.00
19800213	-0.20	-17.70	1.30	1.91	2.60	-7.80	3.40	87.00	-26.50	0.70	95.00
19800214	4.60	-0.30	0.50	0.97	3.20	-2.00	5.30	89.00	-6.50	3.80	97.00
19800215	6.00	3.90	1.50	1.44	3.80	0.60	6.40	96.00	-1.40	5.50	99.00
19800216	5.90	1.10	0.10	0.93	3.20	-1.20	5.60	85.00	-5.00	4.20	96.00
19800217	1.70	-5.30	0.00	5.40	1.90	-8.10	3.30	72.00	-12.60	2.30	94.00
19800218	2.40	-14.20	0.00	2.80	2.60	-5.10	4.20	85.00	-22.30	1.00	97.00
